material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,price,currency,rank,is leaf
17,GMC Chile R17737,3,7,electrical ring,2,GMC,Chile,479.0,5.35,mm,0.99,kg,14.41,eur,4.5,True
18,Ferrari Chile R34180,3,7,electrical ring,2,Ferrari,Chile,414.0,5.41,mm,0.73,kg,15.41,eur,3.0,True
19,Volkswagen Korea R22478,3,7,electrical ring,2,Volkswagen,Korea,400.0,5.61,mm,0.46,kg,13.23,eur,4.5,True
20,Tesla Germany R25361,3,7,electrical ring,2,Tesla,Germany,445.0,6.93,mm,0.73,kg,22.24,eur,3.5,True
21,Ford Chile R6335,3,7,electrical ring,2,Ford,Chile,364.0,6.04,mm,0.92,kg,23.84,eur,3.0,True
22,Ford Sweden R1541,3,7,electrical ring,2,Ford,Sweden,480.0,6.39,mm,0.42,kg,19.32,eur,3.5,True
23,Lincoln Mexico R18550,3,7,electrical ring,2,Lincoln,Mexico,462.0,6.2,mm,0.83,kg,19.26,eur,5.0,True
24,Honda Italy R9041,3,7,electrical ring,2,Honda,Italy,358.0,5.13,mm,0.53,kg,15.26,eur,4.5,True
25,Volvo Romania R23157,3,7,electrical ring,2,Volvo,Romania,409.0,5.52,mm,0.65,kg,24.73,eur,3.0,True
26,Volvo Romania R30078,3,7,electrical ring,2,Volvo,Romania,344.0,6.11,mm,0.27,kg,16.27,eur,5.0,True
27,Ferrari Italy R34019,3,7,electrical ring,2,Ferrari,Italy,403.0,6.31,mm,0.93,kg,13.25,eur,4.0,True
28,Hyundai Austria R19169,3,7,electrical ring,2,Hyundai,Austria,380.0,6.01,mm,0.29,kg,12.82,eur,3.5,True
29,Buick France R35955,3,7,electrical ring,2,Buick,France,315.0,5.02,mm,1.0,kg,24.99,eur,3.5,True
30,Ford Switzerland R31252,3,7,electrical ring,2,Ford,Switzerland,431.0,5.55,mm,0.72,kg,18.95,eur,3.5,True
31,Volkswagen Denmark R32763,3,7,electrical ring,2,Volkswagen,Denmark,303.0,5.73,mm,0.97,kg,20.68,eur,4.5,True
32,Acura Sweden R1709,3,7,electrical ring,2,Acura,Sweden,322.0,5.99,mm,0.97,kg,15.0,eur,3.5,True
33,Jeep Canada R5442,3,7,electrical ring,2,Jeep,Canada,495.0,6.56,mm,0.38,kg,10.62,eur,4.5,True
34,Daimler Chile R37854,3,7,electrical ring,2,Daimler,Chile,431.0,6.9,mm,0.7,kg,14.52,eur,3.0,True
35,Acura China R20147,3,7,electrical ring,2,Acura,China,396.0,5.02,mm,0.72,kg,15.11,eur,3.5,True
36,GMC Canada R2451,3,7,electrical ring,2,GMC,Canada,324.0,6.65,mm,0.78,kg,14.01,eur,4.0,True
37,Hyundai Belgium R14917,3,7,electrical ring,2,Hyundai,Belgium,359.0,5.67,mm,0.78,kg,22.44,eur,4.5,True
38,Ford India R7964,3,7,electrical ring,2,Ford,India,499.0,6.58,mm,0.46,kg,23.82,eur,4.0,True
39,Hyundai Germany R39632,3,7,electrical ring,2,Hyundai,Germany,329.0,6.83,mm,0.96,kg,10.78,eur,5.0,True
40,Ford Egypt R6712,3,7,electrical ring,2,Ford,Egypt,389.0,5.74,mm,0.51,kg,20.25,eur,5.0,True
41,Mercedes Canada R25630,3,7,electrical ring,2,Mercedes,Canada,434.0,6.71,mm,0.57,kg,18.19,eur,3.5,True
42,Volvo Sweden R11923,3,7,electrical ring,2,Volvo,Sweden,343.0,6.05,mm,0.29,kg,16.89,eur,3.5,True
43,BMW Italy R7660,3,7,electrical ring,2,BMW,Italy,344.0,5.53,mm,0.75,kg,11.44,eur,3.5,True
44,Volkswagen Korea R37483,3,7,electrical ring,2,Volkswagen,Korea,355.0,6.19,mm,0.65,kg,14.34,eur,5.0,True
45,Hyundai New Zealand R4930,3,7,electrical ring,2,Hyundai,New,418.0,6.9,mm,0.37,kg,18.38,eur,3.5,True
46,Toyota Sweden R37882,3,7,electrical ring,2,Toyota,Sweden,496.0,5.29,mm,0.41,kg,22.72,eur,4.0,True
47,Hyundai Japan R22699,3,7,electrical ring,2,Hyundai,Japan,322.0,6.62,mm,0.93,kg,22.45,eur,5.0,True
48,Mercedes Mexico R3039,3,7,electrical ring,2,Mercedes,Mexico,372.0,6.59,mm,0.46,kg,11.49,eur,4.0,True
49,Tesla France R21373,3,7,electrical ring,2,Tesla,France,488.0,5.63,mm,0.32,kg,11.05,eur,4.5,True
50,Benz Korea R22850,3,7,electrical ring,2,Benz,Korea,374.0,6.03,mm,0.91,kg,19.43,eur,3.5,True
51,Daimler Switzerland R11694,3,7,electrical ring,2,Daimler,Switzerland,303.0,5.43,mm,0.82,kg,17.7,eur,5.0,True
52,Benz Russia R3145,3,7,electrical ring,2,Benz,Russia,361.0,5.45,mm,0.93,kg,20.58,eur,4.0,True
53,Volkswagen Egypt R37285,3,7,electrical ring,2,Volkswagen,Egypt,341.0,5.32,mm,0.94,kg,14.94,eur,3.5,True
54,Ferrari USA R23833,3,7,electrical ring,2,Ferrari,USA,377.0,5.66,mm,0.44,kg,11.04,eur,3.5,True
55,Lincoln Norway R22060,3,7,electrical ring,2,Lincoln,Norway,391.0,6.92,mm,0.51,kg,19.66,eur,4.5,True
56,Mercedes Chile R34434,3,7,electrical ring,2,Mercedes,Chile,331.0,5.22,mm,0.44,kg,11.79,eur,4.0,True
57,GMC Norway R18659,3,7,electrical ring,2,GMC,Norway,471.0,5.42,mm,0.3,kg,14.41,eur,5.0,True
58,Buick Thailand R33311,3,7,electrical ring,2,Buick,Thailand,333.0,6.5,mm,0.5,kg,22.98,eur,3.0,True
59,Buick Korea R34285,3,7,electrical ring,2,Buick,Korea,311.0,5.2,mm,0.71,kg,15.94,eur,4.0,True
60,Lincoln Egypt R1644,3,7,electrical ring,2,Lincoln,Egypt,407.0,6.98,mm,0.59,kg,19.46,eur,3.5,True
61,Acura Germany R8219,3,7,electrical ring,2,Acura,Germany,437.0,5.46,mm,0.3,kg,23.23,eur,3.5,True
62,Lincoln France R29805,3,7,electrical ring,2,Lincoln,France,446.0,6.12,mm,0.62,kg,23.04,eur,4.5,True
63,BYD France R10541,3,7,electrical ring,2,BYD,France,385.0,5.73,mm,0.9,kg,15.17,eur,3.0,True
64,Acura Russia R31973,3,7,electrical ring,2,Acura,Russia,405.0,5.03,mm,0.22,kg,13.12,eur,3.5,True
65,Jeep Romania R15125,3,7,electrical ring,2,Jeep,Romania,318.0,5.5,mm,0.34,kg,23.87,eur,5.0,True
66,Mercedes India R26788,3,7,electrical ring,2,Mercedes,India,420.0,6.17,mm,0.69,kg,14.36,eur,4.5,True
67,BYD Norway R33307,3,7,electrical ring,2,BYD,Norway,386.0,6.23,mm,0.32,kg,10.89,eur,4.5,True
68,Buick Netherlands R31208,3,7,electrical ring,2,Buick,Netherlands,496.0,5.01,mm,0.42,kg,12.24,eur,4.5,True
69,BYD New Zealand R15266,3,7,electrical ring,2,BYD,New,336.0,6.19,mm,0.59,kg,16.74,eur,4.0,True
70,BMW Germany R20733,3,7,electrical ring,2,BMW,Germany,433.0,5.56,mm,0.29,kg,21.62,eur,4.0,True
71,Lincoln Netherlands R4340,3,7,electrical ring,2,Lincoln,Netherlands,434.0,6.57,mm,0.38,kg,10.74,eur,5.0,True
72,Volvo Indonesia R16664,3,7,electrical ring,2,Volvo,Indonesia,430.0,5.89,mm,0.52,kg,11.57,eur,4.5,True
73,Hyundai Japan R15377,3,7,electrical ring,2,Hyundai,Japan,412.0,6.43,mm,0.55,kg,17.97,eur,3.5,True
74,Benz Belgium R8604,3,7,electrical ring,2,Benz,Belgium,373.0,5.07,mm,0.93,kg,24.53,eur,4.5,True
75,Ford Russia R38127,3,7,electrical ring,2,Ford,Russia,348.0,6.86,mm,0.37,kg,12.09,eur,3.5,True
76,Honda Mexico R20614,3,7,electrical ring,2,Honda,Mexico,317.0,6.23,mm,0.72,kg,19.7,eur,4.5,True
77,Tesla Egypt R27135,3,7,electrical ring,2,Tesla,Egypt,382.0,6.77,mm,0.73,kg,11.0,eur,3.5,True
78,Acura China R32196,3,7,electrical ring,2,Acura,China,417.0,5.81,mm,0.83,kg,12.92,eur,4.0,True
79,Lincoln Brazil R36217,3,7,electrical ring,2,Lincoln,Brazil,430.0,6.11,mm,0.53,kg,19.49,eur,3.0,True
80,Buick Canada R9356,3,7,electrical ring,2,Buick,Canada,451.0,5.47,mm,0.68,kg,24.38,eur,3.5,True
81,Toyota India R33933,3,7,electrical ring,2,Toyota,India,345.0,5.38,mm,0.45,kg,21.46,eur,4.0,True
82,Ferrari Egypt R2922,3,7,electrical ring,2,Ferrari,Egypt,391.0,5.34,mm,0.84,kg,14.97,eur,4.5,True
83,Ford Sweden R28531,3,7,electrical ring,2,Ford,Sweden,371.0,6.96,mm,0.69,kg,16.92,eur,5.0,True
84,Jeep Germany R7120,3,7,electrical ring,2,Jeep,Germany,373.0,6.61,mm,0.75,kg,17.09,eur,3.5,True
85,GMC China R1299,3,7,electrical ring,2,GMC,China,353.0,5.03,mm,0.85,kg,13.57,eur,4.0,True
86,Buick Norway R1493,3,7,electrical ring,2,Buick,Norway,301.0,5.55,mm,0.31,kg,10.53,eur,4.5,True
87,BMW Norway R28995,3,7,electrical ring,2,BMW,Norway,371.0,6.44,mm,0.5,kg,21.14,eur,5.0,True
88,Jeep New Zealand R5138,3,7,electrical ring,2,Jeep,New,486.0,5.92,mm,0.44,kg,18.59,eur,4.5,True
89,Buick Brazil R36297,3,7,electrical ring,2,Buick,Brazil,334.0,6.99,mm,0.21,kg,22.56,eur,3.0,True
90,GMC Indonesia R15078,3,7,electrical ring,2,GMC,Indonesia,307.0,5.12,mm,0.78,kg,22.86,eur,3.0,True
91,Hyundai Korea R28457,3,7,electrical ring,2,Hyundai,Korea,451.0,6.72,mm,0.8,kg,22.22,eur,4.5,True
92,BYD Sweden R36421,3,7,electrical ring,2,BYD,Sweden,454.0,6.3,mm,0.58,kg,17.75,eur,3.0,True
93,Benz New Zealand R17397,3,7,electrical ring,2,Benz,New,362.0,6.46,mm,0.53,kg,17.57,eur,3.5,True
94,Lincoln Chile R4561,3,7,electrical ring,2,Lincoln,Chile,499.0,6.38,mm,0.8,kg,18.51,eur,4.0,True
95,Jeep France R32058,3,7,electrical ring,2,Jeep,France,368.0,6.45,mm,0.81,kg,13.69,eur,5.0,True
96,Tesla Germany R32452,3,7,electrical ring,2,Tesla,Germany,392.0,5.59,mm,0.62,kg,20.09,eur,3.5,True
97,Tesla USA R10658,3,7,electrical ring,2,Tesla,USA,300.0,5.62,mm,0.98,kg,18.37,eur,5.0,True
98,Lincoln Belgium R1883,3,7,electrical ring,2,Lincoln,Belgium,421.0,6.86,mm,0.93,kg,17.42,eur,4.5,True
99,Mercedes China R14556,3,7,electrical ring,2,Mercedes,China,443.0,5.27,mm,0.52,kg,15.99,eur,4.0,True
100,Volkswagen Russia R28485,3,7,electrical ring,2,Volkswagen,Russia,418.0,6.72,mm,0.8,kg,10.62,eur,4.0,True
101,Lincoln Korea R39783,3,7,electrical ring,2,Lincoln,Korea,406.0,5.91,mm,0.95,kg,12.32,eur,4.0,True
102,Buick Korea R20641,3,7,electrical ring,2,Buick,Korea,407.0,6.69,mm,0.83,kg,17.54,eur,4.5,True
103,Lincoln Canada R31920,3,7,electrical ring,2,Lincoln,Canada,447.0,6.77,mm,0.68,kg,20.61,eur,3.0,True
104,Mercedes Egypt R28458,3,7,electrical ring,2,Mercedes,Egypt,388.0,6.33,mm,0.82,kg,11.37,eur,4.0,True
105,GMC Egypt R22271,3,7,electrical ring,2,GMC,Egypt,473.0,6.78,mm,0.6,kg,14.23,eur,4.5,True
106,Mercedes Italy R33355,3,7,electrical ring,2,Mercedes,Italy,462.0,5.09,mm,0.56,kg,12.79,eur,4.0,True
107,Hyundai Brazil R11898,3,7,electrical ring,2,Hyundai,Brazil,489.0,6.62,mm,0.36,kg,18.07,eur,3.5,True
108,Ford Russia R8549,3,7,electrical ring,2,Ford,Russia,479.0,5.93,mm,0.76,kg,18.94,eur,4.5,True
109,Volvo Indonesia R34844,3,7,electrical ring,2,Volvo,Indonesia,480.0,6.95,mm,0.24,kg,19.96,eur,4.0,True
110,BYD USA R1079,3,7,electrical ring,2,BYD,USA,487.0,5.21,mm,0.86,kg,14.96,eur,4.5,True
111,Volkswagen Egypt R22953,3,7,electrical ring,2,Volkswagen,Egypt,401.0,6.49,mm,0.77,kg,17.68,eur,3.5,True
112,Lincoln Sweden R15308,3,7,electrical ring,2,Lincoln,Sweden,347.0,6.63,mm,0.35,kg,20.67,eur,3.5,True
113,BMW Russia R20095,3,7,electrical ring,2,BMW,Russia,414.0,6.75,mm,0.63,kg,18.71,eur,5.0,True
114,Volvo Brazil R8304,3,7,electrical ring,2,Volvo,Brazil,343.0,5.3,mm,0.43,kg,18.31,eur,4.5,True
115,Buick Denmark R17357,3,7,electrical ring,2,Buick,Denmark,468.0,6.45,mm,0.29,kg,14.74,eur,3.5,True
116,Tesla Germany R11675,3,7,electrical ring,2,Tesla,Germany,463.0,5.85,mm,0.24,kg,16.03,eur,3.0,True
117,Volvo New Zealand R13668,3,7,electrical ring,2,Volvo,New,317.0,5.89,mm,0.76,kg,13.15,eur,3.0,True
118,Tesla Indonesia R30598,3,7,electrical ring,2,Tesla,Indonesia,348.0,6.13,mm,0.48,kg,10.09,eur,3.5,True
119,Lincoln Korea R25773,3,7,electrical ring,2,Lincoln,Korea,303.0,5.98,mm,0.6,kg,13.14,eur,4.0,True
120,GMC France R8076,3,7,electrical ring,2,GMC,France,331.0,6.61,mm,0.61,kg,22.13,eur,3.0,True
121,Hyundai Turkey R25036,3,7,electrical ring,2,Hyundai,Turkey,407.0,5.09,mm,0.23,kg,12.82,eur,4.0,True
122,KTM Turkey R4132,3,7,electrical ring,2,KTM,Turkey,442.0,5.09,mm,1.0,kg,20.75,eur,3.5,True
123,Honda Sweden R37045,3,7,electrical ring,2,Honda,Sweden,472.0,5.94,mm,0.77,kg,20.14,eur,4.5,True
124,Lincoln Japan R38092,3,7,electrical ring,2,Lincoln,Japan,396.0,5.79,mm,0.97,kg,22.83,eur,3.5,True
125,Ford Chile R28513,3,7,electrical ring,2,Ford,Chile,378.0,5.23,mm,0.72,kg,17.78,eur,4.0,True
126,GMC Belgium R15334,3,7,electrical ring,2,GMC,Belgium,421.0,6.0,mm,0.48,kg,22.86,eur,4.0,True
127,BMW Indonesia R23569,3,7,electrical ring,2,BMW,Indonesia,364.0,6.07,mm,0.87,kg,12.83,eur,4.5,True
128,KTM Austria R39014,3,7,electrical ring,2,KTM,Austria,436.0,6.12,mm,0.86,kg,24.49,eur,4.5,True
129,Toyota Egypt R10609,3,7,electrical ring,2,Toyota,Egypt,431.0,6.07,mm,0.38,kg,10.94,eur,4.5,True
130,BYD India R31970,3,7,electrical ring,2,BYD,India,322.0,5.66,mm,0.89,kg,24.41,eur,3.5,True
131,Tesla Austria R14173,3,7,electrical ring,2,Tesla,Austria,368.0,6.47,mm,0.6,kg,23.21,eur,4.5,True
132,Jeep Denmark R19607,3,7,electrical ring,2,Jeep,Denmark,318.0,6.63,mm,0.3,kg,12.73,eur,4.5,True
133,KTM India R16333,3,7,electrical ring,2,KTM,India,399.0,5.54,mm,0.39,kg,18.5,eur,4.5,True
134,Tesla Denmark R18502,3,7,electrical ring,2,Tesla,Denmark,368.0,6.97,mm,0.72,kg,16.04,eur,4.5,True
135,Daimler New Zealand R7993,3,7,electrical ring,2,Daimler,New,491.0,5.85,mm,0.68,kg,12.05,eur,3.0,True
136,BMW Switzerland R35101,3,7,electrical ring,2,BMW,Switzerland,433.0,6.59,mm,0.84,kg,24.91,eur,4.5,True
137,Ferrari Sweden R28175,3,7,electrical ring,2,Ferrari,Sweden,479.0,6.52,mm,0.6,kg,15.55,eur,4.5,True
138,Acura Norway R38207,3,7,electrical ring,2,Acura,Norway,492.0,5.67,mm,0.32,kg,19.22,eur,4.0,True
139,BMW Netherlands R28925,3,7,electrical ring,2,BMW,Netherlands,325.0,5.25,mm,0.92,kg,11.16,eur,4.5,True
140,BYD Mexico R15743,3,7,electrical ring,2,BYD,Mexico,485.0,5.58,mm,0.38,kg,12.34,eur,4.0,True
141,Toyota Italy R10832,3,7,electrical ring,2,Toyota,Italy,480.0,6.63,mm,0.36,kg,15.08,eur,4.5,True
142,Ferrari Brazil R12755,3,7,electrical ring,2,Ferrari,Brazil,390.0,5.68,mm,0.85,kg,13.08,eur,4.0,True
143,Buick Belgium R34437,3,7,electrical ring,2,Buick,Belgium,480.0,5.15,mm,0.93,kg,15.58,eur,3.0,True
144,Benz Indonesia R30586,3,7,electrical ring,2,Benz,Indonesia,307.0,5.88,mm,0.29,kg,24.34,eur,4.0,True
145,GMC Canada R34002,3,7,electrical ring,2,GMC,Canada,380.0,5.16,mm,0.88,kg,22.55,eur,4.0,True
146,Hyundai Switzerland R34013,3,7,electrical ring,2,Hyundai,Switzerland,326.0,6.92,mm,0.37,kg,11.33,eur,3.0,True
147,Tesla Chile R11025,3,7,electrical ring,2,Tesla,Chile,468.0,6.78,mm,0.95,kg,19.29,eur,4.5,True
148,KTM India R3521,3,7,electrical ring,2,KTM,India,357.0,6.61,mm,0.72,kg,18.48,eur,3.5,True
149,Benz Russia R32339,3,7,electrical ring,2,Benz,Russia,343.0,5.25,mm,0.41,kg,21.86,eur,4.5,True
150,Jeep Austria R33248,3,7,electrical ring,2,Jeep,Austria,351.0,5.81,mm,0.41,kg,11.69,eur,5.0,True
151,Benz Austria R22759,3,7,electrical ring,2,Benz,Austria,444.0,6.01,mm,0.48,kg,11.42,eur,3.5,True
152,GMC Switzerland R24617,3,7,electrical ring,2,GMC,Switzerland,437.0,6.53,mm,0.65,kg,17.31,eur,4.0,True
153,Tesla Italy R16863,3,7,electrical ring,2,Tesla,Italy,495.0,6.43,mm,0.55,kg,12.25,eur,5.0,True
154,BYD Canada R4037,3,7,electrical ring,2,BYD,Canada,386.0,6.48,mm,0.62,kg,22.73,eur,4.5,True
155,Lincoln Russia R35247,3,7,electrical ring,2,Lincoln,Russia,450.0,6.95,mm,0.55,kg,20.12,eur,4.0,True
156,KTM New Zealand R29859,3,7,electrical ring,2,KTM,New,366.0,5.73,mm,0.77,kg,18.15,eur,4.5,True
157,Hyundai Sweden R33758,3,7,electrical ring,2,Hyundai,Sweden,449.0,6.1,mm,0.4,kg,17.83,eur,5.0,True
158,Daimler Turkey R36506,3,7,electrical ring,2,Daimler,Turkey,363.0,5.21,mm,0.55,kg,17.51,eur,4.0,True
159,Mercedes Switzerland R31382,3,7,electrical ring,2,Mercedes,Switzerland,458.0,6.03,mm,0.68,kg,21.05,eur,3.5,True
160,Daimler Switzerland R33244,3,7,electrical ring,2,Daimler,Switzerland,326.0,6.97,mm,0.41,kg,24.47,eur,4.5,True
161,Ferrari India R1869,3,7,electrical ring,2,Ferrari,India,424.0,5.78,mm,0.47,kg,19.39,eur,4.0,True
162,Benz Indonesia R4631,3,7,electrical ring,2,Benz,Indonesia,349.0,5.06,mm,0.31,kg,14.88,eur,4.0,True
163,Ferrari Japan R23004,3,7,electrical ring,2,Ferrari,Japan,327.0,6.09,mm,0.75,kg,18.25,eur,3.5,True
164,BYD Turkey R4852,3,7,electrical ring,2,BYD,Turkey,472.0,6.43,mm,0.98,kg,19.78,eur,5.0,True
165,Honda Korea R14247,3,7,electrical ring,2,Honda,Korea,494.0,5.61,mm,0.54,kg,19.67,eur,4.0,True
166,GMC New Zealand R5107,3,7,electrical ring,2,GMC,New,431.0,6.7,mm,0.79,kg,11.02,eur,5.0,True
167,Mercedes Italy R22036,3,7,electrical ring,2,Mercedes,Italy,313.0,6.15,mm,0.44,kg,24.7,eur,3.5,True
168,Volvo Belgium R31651,3,7,electrical ring,2,Volvo,Belgium,380.0,6.25,mm,0.35,kg,22.14,eur,4.0,True
169,Volvo Netherlands R29692,3,7,electrical ring,2,Volvo,Netherlands,307.0,5.08,mm,0.84,kg,20.7,eur,3.5,True
170,Lincoln Korea R37643,3,7,electrical ring,2,Lincoln,Korea,373.0,6.31,mm,0.28,kg,15.24,eur,3.5,True
171,BYD Denmark R30122,3,7,electrical ring,2,BYD,Denmark,381.0,6.33,mm,0.98,kg,17.01,eur,3.5,True
172,GMC Thailand R36401,3,7,electrical ring,2,GMC,Thailand,480.0,5.03,mm,0.36,kg,10.12,eur,5.0,True
173,Ferrari USA R6149,3,7,electrical ring,2,Ferrari,USA,421.0,6.02,mm,0.79,kg,12.01,eur,4.0,True
174,Mercedes Egypt R30226,3,7,electrical ring,2,Mercedes,Egypt,413.0,5.18,mm,0.23,kg,17.74,eur,4.5,True
175,BYD Chile R10493,3,7,electrical ring,2,BYD,Chile,361.0,5.75,mm,0.65,kg,14.71,eur,4.0,True
176,GMC USA R12279,3,7,electrical ring,2,GMC,USA,488.0,6.08,mm,0.75,kg,21.7,eur,5.0,True
177,Honda Germany R29903,3,7,electrical ring,2,Honda,Germany,473.0,5.72,mm,0.53,kg,20.53,eur,4.5,True
178,Honda Korea R4666,3,7,electrical ring,2,Honda,Korea,335.0,6.7,mm,0.53,kg,15.63,eur,3.5,True
179,Benz Germany R1588,3,7,electrical ring,2,Benz,Germany,402.0,6.4,mm,0.74,kg,23.24,eur,4.5,True
180,Volvo New Zealand R16174,3,7,electrical ring,2,Volvo,New,396.0,5.89,mm,0.72,kg,22.83,eur,5.0,True
181,Acura France R11035,3,7,electrical ring,2,Acura,France,438.0,5.76,mm,0.75,kg,14.16,eur,4.0,True
182,Volvo Cuba R27168,3,7,electrical ring,2,Volvo,Cuba,323.0,5.92,mm,0.53,kg,15.61,eur,3.5,True
183,Acura India R30002,3,7,electrical ring,2,Acura,India,384.0,6.29,mm,0.83,kg,10.43,eur,3.5,True
184,Daimler Indonesia R1919,3,7,electrical ring,2,Daimler,Indonesia,446.0,6.41,mm,0.9,kg,18.12,eur,4.0,True
185,Honda Austria R27908,3,7,electrical ring,2,Honda,Austria,473.0,6.66,mm,0.38,kg,12.67,eur,5.0,True
186,Mercedes India R19353,3,7,electrical ring,2,Mercedes,India,426.0,5.27,mm,0.51,kg,19.27,eur,4.5,True
187,Jeep France R2865,3,7,electrical ring,2,Jeep,France,344.0,5.41,mm,0.69,kg,17.03,eur,5.0,True
188,Ford Korea R39226,3,7,electrical ring,2,Ford,Korea,482.0,5.74,mm,0.49,kg,19.87,eur,3.5,True
189,Ford Canada R33616,3,7,electrical ring,2,Ford,Canada,495.0,5.48,mm,0.29,kg,11.6,eur,3.5,True
190,Honda Chile R10221,3,7,electrical ring,2,Honda,Chile,360.0,6.84,mm,0.25,kg,12.43,eur,3.5,True
191,Toyota Romania R16912,3,7,electrical ring,2,Toyota,Romania,340.0,5.19,mm,0.48,kg,24.8,eur,3.0,True
192,Benz India R13526,3,7,electrical ring,2,Benz,India,447.0,5.38,mm,0.5,kg,20.01,eur,4.5,True
193,Mercedes Chile R1137,3,7,electrical ring,2,Mercedes,Chile,340.0,6.57,mm,0.38,kg,14.93,eur,4.0,True
194,GMC Norway R10382,3,7,electrical ring,2,GMC,Norway,311.0,5.81,mm,1.0,kg,22.76,eur,3.5,True
195,Buick Norway R19596,3,7,electrical ring,2,Buick,Norway,475.0,5.33,mm,0.94,kg,16.27,eur,3.5,True
196,Buick Egypt R35603,3,7,electrical ring,2,Buick,Egypt,415.0,6.07,mm,0.37,kg,14.89,eur,3.5,True
197,BMW Romania R36802,3,7,electrical ring,2,BMW,Romania,478.0,6.79,mm,0.23,kg,18.92,eur,3.5,True
198,GMC Norway R34166,3,7,electrical ring,2,GMC,Norway,373.0,5.69,mm,0.35,kg,14.92,eur,4.5,True
199,Acura Denmark R7223,3,7,electrical ring,2,Acura,Denmark,464.0,6.08,mm,0.5,kg,22.84,eur,3.5,True
200,Acura Netherlands R10105,3,7,electrical ring,2,Acura,Netherlands,348.0,5.45,mm,0.77,kg,12.96,eur,3.0,True
201,Ferrari France R12973,3,7,electrical ring,2,Ferrari,France,360.0,6.38,mm,0.66,kg,18.54,eur,3.0,True
202,Lincoln Belgium R22072,3,7,electrical ring,2,Lincoln,Belgium,409.0,5.55,mm,0.35,kg,19.17,eur,4.5,True
203,KTM Romania R31941,3,7,electrical ring,2,KTM,Romania,401.0,5.72,mm,0.49,kg,24.35,eur,3.0,True
204,Volkswagen France R24143,3,7,electrical ring,2,Volkswagen,France,422.0,6.37,mm,0.38,kg,18.49,eur,3.5,True
205,Volkswagen Russia R20807,3,7,electrical ring,2,Volkswagen,Russia,382.0,6.18,mm,0.77,kg,20.73,eur,3.5,True
206,BMW Egypt R23593,3,7,electrical ring,2,BMW,Egypt,331.0,6.01,mm,0.54,kg,23.91,eur,4.5,True
207,Volkswagen Russia R1718,3,7,electrical ring,2,Volkswagen,Russia,383.0,5.55,mm,0.64,kg,19.99,eur,3.5,True
208,Volkswagen Belgium R38442,3,7,electrical ring,2,Volkswagen,Belgium,460.0,5.91,mm,0.95,kg,10.03,eur,5.0,True
209,Ford Thailand R17117,3,7,electrical ring,2,Ford,Thailand,355.0,6.13,mm,0.51,kg,16.07,eur,3.0,True
210,Hyundai Belgium R7625,3,7,electrical ring,2,Hyundai,Belgium,452.0,6.67,mm,0.69,kg,18.53,eur,3.5,True
211,Benz Indonesia R9443,3,7,electrical ring,2,Benz,Indonesia,425.0,5.68,mm,0.26,kg,14.68,eur,4.5,True
212,Ford Chile R19802,3,7,electrical ring,2,Ford,Chile,358.0,5.49,mm,0.97,kg,10.53,eur,3.0,True
