material ID,description,level,category,category description,hierarchy category,provider,country,diameter,width,size uom,weight,weight uom,power,voltage,current,price,currency,rank,is leaf
15,Acura Netherlands F22269,3,6,alternator fan,2,Acura,Netherlands,343.0,558.6,mm,1.65,kg,24,12,3.0,83.91,eur,3.5,True
16,Hyundai Korea F23308,3,6,alternator fan,2,Hyundai,Korea,335.0,531.1,mm,2.52,kg,36,12,2.5,83.29,eur,4.5,True
17,Mercedes Japan F35847,3,6,alternator fan,2,Mercedes,Japan,264.0,506.36,mm,2.02,kg,24,12,2.5,114.63,eur,4.0,True
18,Daimler Egypt F10788,3,6,alternator fan,2,Daimler,Egypt,267.0,568.8,mm,2.64,kg,36,12,2.5,81.72,eur,4.0,True
19,Mercedes Mexico F12680,3,6,alternator fan,2,Mercedes,Mexico,290.0,540.51,mm,1.42,kg,24,12,3.0,130.57,eur,3.5,True
20,Lincoln Canada F3111,3,6,alternator fan,2,Lincoln,Canada,253.0,545.37,mm,2.13,kg,36,12,2.5,128.05,eur,3.5,True
21,Hyundai China F37037,3,6,alternator fan,2,Hyundai,China,295.0,586.93,mm,1.46,kg,24,12,3.0,104.54,eur,3.0,True
22,Daimler Belgium F32571,3,6,alternator fan,2,Daimler,Belgium,320.0,506.84,mm,1.66,kg,24,12,3.0,100.56,eur,3.5,True
23,Volkswagen Chile F14916,3,6,alternator fan,2,Volkswagen,Chile,259.0,574.47,mm,1.53,kg,24,12,2.5,98.08,eur,3.5,True
24,Jeep USA F22412,3,6,alternator fan,2,Jeep,USA,256.0,588.92,mm,1.16,kg,24,12,2.5,102.03,eur,4.0,True
25,Daimler Cuba F1042,3,6,alternator fan,2,Daimler,Cuba,292.0,599.97,mm,2.0,kg,24,12,2.5,148.3,eur,4.5,True
26,Acura Switzerland F34665,3,6,alternator fan,2,Acura,Switzerland,287.0,544.5,mm,1.96,kg,36,12,3.0,122.03,eur,3.5,True
27,Lincoln Egypt F19695,3,6,alternator fan,2,Lincoln,Egypt,296.0,519.41,mm,1.81,kg,24,12,2.5,130.34,eur,4.5,True
28,KTM Austria F6032,3,6,alternator fan,2,KTM,Austria,265.0,592.59,mm,1.45,kg,24,12,2.5,107.21,eur,3.0,True
29,Honda Indonesia F25956,3,6,alternator fan,2,Honda,Indonesia,335.0,539.57,mm,1.21,kg,24,12,3.0,143.87,eur,5.0,True
30,Volvo Romania F14116,3,6,alternator fan,2,Volvo,Romania,329.0,515.29,mm,2.92,kg,24,12,2.5,121.28,eur,3.5,True
31,Buick Korea F22847,3,6,alternator fan,2,Buick,Korea,290.0,549.33,mm,2.27,kg,24,12,3.0,85.94,eur,3.5,True
32,Jeep Japan F1778,3,6,alternator fan,2,Jeep,Japan,318.0,566.93,mm,1.9,kg,24,12,2.5,129.39,eur,3.5,True
33,Benz Russia F27587,3,6,alternator fan,2,Benz,Russia,266.0,507.43,mm,2.52,kg,36,12,2.5,131.14,eur,4.5,True
34,BYD Mexico F9201,3,6,alternator fan,2,BYD,Mexico,253.0,595.65,mm,2.2,kg,24,12,2.5,133.65,eur,3.5,True
35,Benz Canada F29593,3,6,alternator fan,2,Benz,Canada,328.0,528.06,mm,1.21,kg,36,12,2.5,135.83,eur,4.0,True
36,GMC Italy F16129,3,6,alternator fan,2,GMC,Italy,337.0,514.58,mm,1.09,kg,24,12,3.0,90.51,eur,5.0,True
37,Volkswagen Belgium F15859,3,6,alternator fan,2,Volkswagen,Belgium,281.0,530.08,mm,1.57,kg,36,12,3.0,93.62,eur,4.0,True
38,Daimler Korea F9633,3,6,alternator fan,2,Daimler,Korea,282.0,578.77,mm,1.41,kg,36,12,3.0,116.65,eur,3.5,True
39,Toyota Russia F3063,3,6,alternator fan,2,Toyota,Russia,328.0,577.11,mm,1.35,kg,24,12,2.5,138.27,eur,3.0,True
40,Buick Denmark F31281,3,6,alternator fan,2,Buick,Denmark,261.0,573.49,mm,1.47,kg,24,12,2.5,117.8,eur,4.0,True
41,Benz Indonesia F23291,3,6,alternator fan,2,Benz,Indonesia,336.0,510.29,mm,1.41,kg,36,12,3.0,141.69,eur,3.5,True
42,Toyota Indonesia F39342,3,6,alternator fan,2,Toyota,Indonesia,275.0,536.46,mm,2.31,kg,36,12,3.0,120.3,eur,4.5,True
43,BYD Egypt F29184,3,6,alternator fan,2,BYD,Egypt,331.0,513.1,mm,1.34,kg,36,12,3.0,142.4,eur,3.5,True
44,Volkswagen Sweden F26947,3,6,alternator fan,2,Volkswagen,Sweden,269.0,580.67,mm,1.31,kg,24,12,2.5,91.68,eur,5.0,True
45,Honda New Zealand F18397,3,6,alternator fan,2,Honda,New,319.0,596.56,mm,1.71,kg,36,12,2.5,122.56,eur,5.0,True
46,Volkswagen Switzerland F5518,3,6,alternator fan,2,Volkswagen,Switzerland,290.0,555.24,mm,2.87,kg,24,12,3.0,78.91,eur,4.5,True
47,Mercedes China F28360,3,6,alternator fan,2,Mercedes,China,269.0,577.73,mm,1.61,kg,36,12,3.0,149.12,eur,3.0,True
48,BYD Denmark F21710,3,6,alternator fan,2,BYD,Denmark,271.0,535.03,mm,1.95,kg,24,12,2.5,122.87,eur,3.0,True
49,Acura China F36903,3,6,alternator fan,2,Acura,China,335.0,546.04,mm,1.61,kg,36,12,2.5,75.11,eur,3.0,True
50,GMC Sweden F32467,3,6,alternator fan,2,GMC,Sweden,276.0,554.97,mm,1.9,kg,24,12,3.0,86.95,eur,4.0,True
51,Tesla New Zealand F19097,3,6,alternator fan,2,Tesla,New,304.0,567.67,mm,1.33,kg,36,12,2.5,122.47,eur,3.0,True
52,Daimler France F10006,3,6,alternator fan,2,Daimler,France,269.0,505.92,mm,1.9,kg,24,12,3.0,104.63,eur,4.0,True
53,Buick Cuba F30338,3,6,alternator fan,2,Buick,Cuba,323.0,502.05,mm,1.12,kg,24,12,3.0,93.6,eur,4.0,True
54,Volkswagen USA F23780,3,6,alternator fan,2,Volkswagen,USA,290.0,577.69,mm,2.73,kg,36,12,3.0,85.58,eur,3.0,True
55,Ferrari France F39225,3,6,alternator fan,2,Ferrari,France,317.0,537.05,mm,1.85,kg,24,12,3.0,138.55,eur,3.5,True
56,Acura Mexico F21113,3,6,alternator fan,2,Acura,Mexico,250.0,549.59,mm,2.34,kg,36,12,3.0,92.04,eur,5.0,True
57,Ford Canada F5623,3,6,alternator fan,2,Ford,Canada,277.0,587.35,mm,1.68,kg,36,12,2.5,117.51,eur,4.0,True
58,Volvo Norway F29886,3,6,alternator fan,2,Volvo,Norway,310.0,593.71,mm,1.67,kg,24,12,2.5,143.13,eur,4.5,True
59,GMC Japan F17114,3,6,alternator fan,2,GMC,Japan,345.0,559.47,mm,1.02,kg,36,12,2.5,80.85,eur,5.0,True
60,Buick Egypt F33917,3,6,alternator fan,2,Buick,Egypt,319.0,594.71,mm,1.15,kg,24,12,2.5,108.87,eur,4.0,True
61,BYD China F36219,3,6,alternator fan,2,BYD,China,292.0,523.33,mm,2.82,kg,24,12,2.5,128.11,eur,5.0,True
62,Tesla Austria F22961,3,6,alternator fan,2,Tesla,Austria,261.0,564.36,mm,1.01,kg,24,12,2.5,100.46,eur,3.5,True
63,Buick France F5531,3,6,alternator fan,2,Buick,France,324.0,515.59,mm,2.25,kg,24,12,2.5,138.18,eur,4.5,True
64,Hyundai Sweden F22843,3,6,alternator fan,2,Hyundai,Sweden,329.0,507.03,mm,2.17,kg,36,12,3.0,96.61,eur,3.0,True
65,Benz Austria F19391,3,6,alternator fan,2,Benz,Austria,294.0,569.72,mm,2.6,kg,24,12,3.0,123.57,eur,4.0,True
66,Ferrari Cuba F2502,3,6,alternator fan,2,Ferrari,Cuba,261.0,553.75,mm,1.12,kg,36,12,3.0,78.54,eur,4.5,True
67,Ferrari Germany F20929,3,6,alternator fan,2,Ferrari,Germany,259.0,592.45,mm,1.29,kg,36,12,3.0,114.7,eur,4.0,True
68,Volkswagen Belgium F2971,3,6,alternator fan,2,Volkswagen,Belgium,257.0,527.83,mm,1.76,kg,24,12,3.0,128.46,eur,3.5,True
69,Ferrari Switzerland F35414,3,6,alternator fan,2,Ferrari,Switzerland,283.0,593.61,mm,1.32,kg,36,12,3.0,123.67,eur,4.0,True
70,Volvo Romania F1335,3,6,alternator fan,2,Volvo,Romania,263.0,581.65,mm,2.23,kg,24,12,3.0,109.05,eur,4.5,True
71,Buick France F27240,3,6,alternator fan,2,Buick,France,272.0,555.86,mm,1.4,kg,36,12,2.5,148.31,eur,4.5,True
72,Lincoln Denmark F8421,3,6,alternator fan,2,Lincoln,Denmark,292.0,558.35,mm,2.83,kg,36,12,2.5,77.27,eur,3.0,True
73,Jeep Chile F5589,3,6,alternator fan,2,Jeep,Chile,270.0,501.11,mm,2.51,kg,36,12,2.5,128.56,eur,4.0,True
74,BYD Chile F28537,3,6,alternator fan,2,BYD,Chile,294.0,525.13,mm,2.35,kg,24,12,3.0,109.82,eur,3.5,True
75,BYD Romania F1503,3,6,alternator fan,2,BYD,Romania,262.0,551.79,mm,1.07,kg,36,12,2.5,141.68,eur,4.5,True
76,Tesla USA F2695,3,6,alternator fan,2,Tesla,USA,254.0,525.78,mm,2.64,kg,24,12,2.5,111.01,eur,3.0,True
77,Volkswagen Mexico F20834,3,6,alternator fan,2,Volkswagen,Mexico,348.0,596.42,mm,2.33,kg,36,12,3.0,109.44,eur,4.0,True
78,Acura India F9628,3,6,alternator fan,2,Acura,India,277.0,501.82,mm,2.15,kg,36,12,3.0,77.09,eur,4.0,True
79,Buick Denmark F18283,3,6,alternator fan,2,Buick,Denmark,296.0,538.53,mm,2.7,kg,24,12,2.5,126.25,eur,5.0,True
80,BMW Egypt F27544,3,6,alternator fan,2,BMW,Egypt,314.0,510.85,mm,2.27,kg,24,12,3.0,121.67,eur,3.0,True
81,GMC Korea F11470,3,6,alternator fan,2,GMC,Korea,331.0,598.41,mm,1.33,kg,24,12,2.5,85.53,eur,4.0,True
82,Mercedes Indonesia F2143,3,6,alternator fan,2,Mercedes,Indonesia,294.0,539.93,mm,1.96,kg,24,12,3.0,145.31,eur,5.0,True
83,Hyundai Indonesia F14566,3,6,alternator fan,2,Hyundai,Indonesia,305.0,514.6,mm,2.79,kg,24,12,2.5,118.33,eur,5.0,True
84,Ferrari Belgium F19606,3,6,alternator fan,2,Ferrari,Belgium,260.0,507.88,mm,2.78,kg,36,12,2.5,127.61,eur,3.0,True
85,Ferrari Norway F17290,3,6,alternator fan,2,Ferrari,Norway,304.0,556.54,mm,1.25,kg,36,12,3.0,77.06,eur,4.0,True
86,Honda Netherlands F36516,3,6,alternator fan,2,Honda,Netherlands,290.0,571.84,mm,2.33,kg,24,12,3.0,148.31,eur,3.5,True
87,Mercedes Italy F37885,3,6,alternator fan,2,Mercedes,Italy,292.0,554.87,mm,1.13,kg,36,12,3.0,133.03,eur,4.0,True
88,BYD Cuba F31140,3,6,alternator fan,2,BYD,Cuba,332.0,598.24,mm,2.65,kg,36,12,2.5,98.58,eur,3.5,True
89,Toyota Thailand F13824,3,6,alternator fan,2,Toyota,Thailand,262.0,551.42,mm,1.13,kg,24,12,2.5,147.37,eur,4.5,True
90,Buick Thailand F23303,3,6,alternator fan,2,Buick,Thailand,303.0,547.84,mm,1.54,kg,36,12,3.0,140.73,eur,4.5,True
91,Toyota USA F31527,3,6,alternator fan,2,Toyota,USA,257.0,580.42,mm,2.48,kg,36,12,2.5,120.33,eur,3.5,True
92,Acura USA F5756,3,6,alternator fan,2,Acura,USA,271.0,564.36,mm,2.09,kg,24,12,2.5,118.21,eur,4.5,True
93,Ferrari Sweden F9499,3,6,alternator fan,2,Ferrari,Sweden,296.0,596.94,mm,1.88,kg,24,12,2.5,101.79,eur,4.5,True
94,Benz Indonesia F27279,3,6,alternator fan,2,Benz,Indonesia,335.0,552.65,mm,2.67,kg,24,12,2.5,80.3,eur,4.0,True
95,KTM Russia F21545,3,6,alternator fan,2,KTM,Russia,317.0,509.91,mm,2.36,kg,36,12,3.0,85.64,eur,4.5,True
96,Jeep Sweden F10767,3,6,alternator fan,2,Jeep,Sweden,252.0,582.72,mm,1.17,kg,36,12,3.0,131.58,eur,3.5,True
97,Benz Norway F26516,3,6,alternator fan,2,Benz,Norway,280.0,546.33,mm,2.54,kg,36,12,2.5,78.5,eur,4.0,True
98,Benz Egypt F1158,3,6,alternator fan,2,Benz,Egypt,310.0,584.37,mm,2.29,kg,36,12,2.5,81.04,eur,3.0,True
99,Volkswagen Mexico F7745,3,6,alternator fan,2,Volkswagen,Mexico,267.0,582.47,mm,2.98,kg,36,12,2.5,133.83,eur,4.5,True
100,KTM Netherlands F24556,3,6,alternator fan,2,KTM,Netherlands,307.0,568.46,mm,2.21,kg,24,12,2.5,115.89,eur,4.5,True
101,Ferrari Turkey F23757,3,6,alternator fan,2,Ferrari,Turkey,284.0,579.97,mm,2.83,kg,24,12,3.0,146.18,eur,4.0,True
102,Lincoln India F26763,3,6,alternator fan,2,Lincoln,India,342.0,508.67,mm,2.55,kg,24,12,3.0,82.25,eur,3.5,True
103,BYD Indonesia F5786,3,6,alternator fan,2,BYD,Indonesia,284.0,575.58,mm,1.36,kg,36,12,2.5,96.51,eur,4.0,True
104,Honda Norway F19899,3,6,alternator fan,2,Honda,Norway,336.0,506.31,mm,2.27,kg,24,12,2.5,132.82,eur,4.5,True
105,Honda Denmark F4375,3,6,alternator fan,2,Honda,Denmark,290.0,562.63,mm,1.37,kg,36,12,2.5,93.88,eur,3.0,True
106,Jeep India F26232,3,6,alternator fan,2,Jeep,India,281.0,594.14,mm,1.35,kg,24,12,3.0,109.55,eur,5.0,True
107,BYD Indonesia F25448,3,6,alternator fan,2,BYD,Indonesia,318.0,570.39,mm,1.55,kg,24,12,2.5,92.99,eur,4.5,True
108,Ferrari Brazil F5382,3,6,alternator fan,2,Ferrari,Brazil,250.0,543.67,mm,2.28,kg,24,12,2.5,100.02,eur,5.0,True
109,Acura India F35505,3,6,alternator fan,2,Acura,India,281.0,536.13,mm,2.86,kg,24,12,2.5,120.84,eur,3.0,True
110,Tesla New Zealand F28811,3,6,alternator fan,2,Tesla,New,258.0,571.49,mm,1.55,kg,36,12,2.5,140.58,eur,4.5,True
111,Daimler Japan F32308,3,6,alternator fan,2,Daimler,Japan,307.0,500.08,mm,1.53,kg,36,12,3.0,99.77,eur,3.5,True
112,Lincoln France F38579,3,6,alternator fan,2,Lincoln,France,261.0,580.77,mm,2.06,kg,24,12,3.0,143.68,eur,4.5,True
113,Ferrari Mexico F6075,3,6,alternator fan,2,Ferrari,Mexico,282.0,555.33,mm,1.03,kg,24,12,3.0,130.88,eur,3.0,True
114,Tesla Denmark F19657,3,6,alternator fan,2,Tesla,Denmark,266.0,582.4,mm,2.96,kg,36,12,3.0,108.33,eur,4.5,True
115,Honda France F32789,3,6,alternator fan,2,Honda,France,302.0,509.94,mm,1.26,kg,24,12,2.5,122.58,eur,5.0,True
116,Jeep Indonesia F3894,3,6,alternator fan,2,Jeep,Indonesia,318.0,551.19,mm,1.48,kg,24,12,2.5,87.82,eur,3.0,True
117,Volkswagen Mexico F28208,3,6,alternator fan,2,Volkswagen,Mexico,261.0,509.11,mm,2.3,kg,36,12,2.5,111.13,eur,4.0,True
118,Tesla Indonesia F17852,3,6,alternator fan,2,Tesla,Indonesia,262.0,535.6,mm,2.74,kg,36,12,3.0,145.97,eur,4.5,True
119,Hyundai Turkey F8089,3,6,alternator fan,2,Hyundai,Turkey,345.0,594.95,mm,1.95,kg,36,12,3.0,86.22,eur,3.0,True
120,Ford Germany F13173,3,6,alternator fan,2,Ford,Germany,316.0,514.28,mm,1.85,kg,24,12,2.5,83.01,eur,5.0,True
121,Mercedes Romania F20431,3,6,alternator fan,2,Mercedes,Romania,310.0,553.1,mm,2.28,kg,36,12,2.5,92.51,eur,5.0,True
122,Honda Turkey F38866,3,6,alternator fan,2,Honda,Turkey,340.0,533.46,mm,3.0,kg,36,12,3.0,102.08,eur,4.0,True
123,Jeep China F13527,3,6,alternator fan,2,Jeep,China,328.0,572.87,mm,2.48,kg,36,12,2.5,91.23,eur,4.5,True
124,Hyundai Netherlands F8208,3,6,alternator fan,2,Hyundai,Netherlands,331.0,527.62,mm,2.84,kg,24,12,3.0,145.54,eur,3.5,True
125,Mercedes Netherlands F33004,3,6,alternator fan,2,Mercedes,Netherlands,256.0,533.84,mm,2.22,kg,24,12,2.5,109.12,eur,5.0,True
126,Mercedes Italy F9210,3,6,alternator fan,2,Mercedes,Italy,320.0,547.29,mm,2.69,kg,36,12,3.0,75.22,eur,3.5,True
127,BMW Cuba F16571,3,6,alternator fan,2,BMW,Cuba,334.0,546.05,mm,2.56,kg,24,12,3.0,96.11,eur,4.5,True
128,Hyundai Turkey F30129,3,6,alternator fan,2,Hyundai,Turkey,256.0,534.36,mm,2.21,kg,36,12,2.5,79.13,eur,3.5,True
129,GMC Cuba F15366,3,6,alternator fan,2,GMC,Cuba,276.0,514.89,mm,2.96,kg,36,12,2.5,123.33,eur,4.5,True
130,Daimler Switzerland F15524,3,6,alternator fan,2,Daimler,Switzerland,347.0,544.32,mm,2.13,kg,36,12,3.0,123.92,eur,4.5,True
131,Ford Brazil F34230,3,6,alternator fan,2,Ford,Brazil,286.0,527.73,mm,2.81,kg,24,12,2.5,118.88,eur,5.0,True
132,Ferrari New Zealand F27600,3,6,alternator fan,2,Ferrari,New,320.0,591.93,mm,1.95,kg,24,12,3.0,107.87,eur,4.0,True
133,Volvo Sweden F26614,3,6,alternator fan,2,Volvo,Sweden,273.0,594.3,mm,1.42,kg,24,12,2.5,77.25,eur,3.0,True
134,Jeep Russia F33629,3,6,alternator fan,2,Jeep,Russia,257.0,556.63,mm,2.32,kg,36,12,2.5,107.65,eur,4.0,True
135,Volkswagen Turkey F2596,3,6,alternator fan,2,Volkswagen,Turkey,313.0,588.67,mm,2.66,kg,36,12,3.0,131.87,eur,4.5,True
136,Volkswagen Canada F33653,3,6,alternator fan,2,Volkswagen,Canada,296.0,587.23,mm,2.64,kg,36,12,2.5,111.69,eur,3.0,True
137,Tesla Germany F32508,3,6,alternator fan,2,Tesla,Germany,327.0,599.57,mm,2.42,kg,36,12,3.0,109.38,eur,3.0,True
138,Benz France F29873,3,6,alternator fan,2,Benz,France,327.0,506.26,mm,1.2,kg,36,12,3.0,143.14,eur,4.5,True
139,Ford Russia F3103,3,6,alternator fan,2,Ford,Russia,273.0,535.34,mm,2.73,kg,36,12,3.0,75.2,eur,4.5,True
140,Ferrari Russia F16096,3,6,alternator fan,2,Ferrari,Russia,312.0,516.44,mm,2.75,kg,24,12,3.0,79.63,eur,4.5,True
141,Lincoln Belgium F6880,3,6,alternator fan,2,Lincoln,Belgium,275.0,581.6,mm,1.95,kg,36,12,2.5,79.07,eur,4.0,True
142,BMW France F21543,3,6,alternator fan,2,BMW,France,295.0,549.15,mm,1.82,kg,24,12,3.0,103.93,eur,4.0,True
143,KTM Sweden F34526,3,6,alternator fan,2,KTM,Sweden,319.0,507.29,mm,2.35,kg,24,12,3.0,87.93,eur,4.5,True
144,Volvo Brazil F15103,3,6,alternator fan,2,Volvo,Brazil,282.0,504.02,mm,2.62,kg,36,12,3.0,114.32,eur,4.0,True
145,Daimler Turkey F1593,3,6,alternator fan,2,Daimler,Turkey,342.0,583.61,mm,1.33,kg,24,12,3.0,121.08,eur,4.5,True
146,Tesla Switzerland F1212,3,6,alternator fan,2,Tesla,Switzerland,295.0,596.9,mm,1.44,kg,24,12,2.5,88.15,eur,5.0,True
147,Hyundai New Zealand F31618,3,6,alternator fan,2,Hyundai,New,274.0,531.25,mm,2.74,kg,24,12,3.0,107.13,eur,3.0,True
148,Lincoln Indonesia F4138,3,6,alternator fan,2,Lincoln,Indonesia,271.0,549.73,mm,2.46,kg,24,12,3.0,146.59,eur,3.0,True
149,Benz China F11240,3,6,alternator fan,2,Benz,China,283.0,593.16,mm,2.71,kg,24,12,3.0,149.91,eur,4.5,True
150,Benz Indonesia F13376,3,6,alternator fan,2,Benz,Indonesia,301.0,509.67,mm,1.55,kg,24,12,2.5,139.35,eur,3.5,True
151,Jeep USA F31915,3,6,alternator fan,2,Jeep,USA,251.0,546.25,mm,2.77,kg,36,12,2.5,140.94,eur,3.0,True
152,Tesla China F2411,3,6,alternator fan,2,Tesla,China,299.0,575.75,mm,2.62,kg,36,12,2.5,144.23,eur,5.0,True
153,Lincoln Sweden F1780,3,6,alternator fan,2,Lincoln,Sweden,347.0,579.57,mm,2.1,kg,36,12,2.5,142.15,eur,5.0,True
154,Toyota Thailand F6348,3,6,alternator fan,2,Toyota,Thailand,341.0,562.11,mm,1.15,kg,36,12,2.5,121.61,eur,4.5,True
155,KTM Canada F33997,3,6,alternator fan,2,KTM,Canada,349.0,545.53,mm,1.69,kg,36,12,3.0,96.52,eur,3.0,True
156,Jeep Egypt F8978,3,6,alternator fan,2,Jeep,Egypt,306.0,518.78,mm,2.15,kg,24,12,2.5,143.11,eur,4.0,True
157,Jeep Norway F12518,3,6,alternator fan,2,Jeep,Norway,345.0,519.91,mm,2.52,kg,24,12,3.0,118.93,eur,3.5,True
158,Ford Brazil F35694,3,6,alternator fan,2,Ford,Brazil,331.0,519.59,mm,2.91,kg,36,12,3.0,78.51,eur,3.0,True
159,Toyota Mexico F30108,3,6,alternator fan,2,Toyota,Mexico,285.0,579.01,mm,1.48,kg,36,12,3.0,144.61,eur,4.0,True
160,KTM Austria F6057,3,6,alternator fan,2,KTM,Austria,251.0,555.92,mm,1.6,kg,36,12,2.5,80.05,eur,4.0,True
161,Volvo Norway F21160,3,6,alternator fan,2,Volvo,Norway,313.0,574.36,mm,2.31,kg,36,12,3.0,108.59,eur,4.0,True
162,GMC Turkey F6902,3,6,alternator fan,2,GMC,Turkey,280.0,569.68,mm,2.6,kg,36,12,2.5,121.93,eur,4.0,True
163,Acura Russia F18576,3,6,alternator fan,2,Acura,Russia,309.0,576.24,mm,1.96,kg,36,12,3.0,107.01,eur,5.0,True
164,Buick Mexico F14293,3,6,alternator fan,2,Buick,Mexico,306.0,574.14,mm,1.71,kg,36,12,3.0,96.59,eur,3.5,True
165,Volvo Romania F31983,3,6,alternator fan,2,Volvo,Romania,269.0,536.3,mm,2.6,kg,36,12,2.5,148.77,eur,4.5,True
166,Benz Germany F38108,3,6,alternator fan,2,Benz,Germany,319.0,509.9,mm,1.83,kg,24,12,2.5,83.51,eur,4.5,True
167,Ford India F29902,3,6,alternator fan,2,Ford,India,296.0,534.3,mm,2.72,kg,36,12,2.5,110.58,eur,4.0,True
168,Volvo Turkey F31758,3,6,alternator fan,2,Volvo,Turkey,349.0,532.84,mm,1.1,kg,36,12,2.5,144.81,eur,3.5,True
169,BYD Mexico F33796,3,6,alternator fan,2,BYD,Mexico,347.0,555.68,mm,1.7,kg,36,12,3.0,122.44,eur,3.0,True
170,Acura Italy F8439,3,6,alternator fan,2,Acura,Italy,316.0,504.95,mm,1.83,kg,24,12,2.5,77.59,eur,5.0,True
171,Buick Cuba F8507,3,6,alternator fan,2,Buick,Cuba,344.0,581.82,mm,1.34,kg,36,12,2.5,75.61,eur,4.5,True
172,BYD Brazil F19445,3,6,alternator fan,2,BYD,Brazil,264.0,547.02,mm,2.95,kg,24,12,3.0,95.51,eur,4.0,True
173,BMW Germany F10179,3,6,alternator fan,2,BMW,Germany,280.0,515.31,mm,1.47,kg,36,12,3.0,92.52,eur,4.5,True
174,BMW Switzerland F7341,3,6,alternator fan,2,BMW,Switzerland,262.0,523.86,mm,2.18,kg,24,12,2.5,87.23,eur,4.5,True
175,Tesla Cuba F24128,3,6,alternator fan,2,Tesla,Cuba,321.0,546.49,mm,1.6,kg,36,12,3.0,119.67,eur,3.0,True
176,Lincoln Austria F13097,3,6,alternator fan,2,Lincoln,Austria,331.0,576.48,mm,2.97,kg,24,12,3.0,146.85,eur,3.5,True
177,Toyota Russia F5025,3,6,alternator fan,2,Toyota,Russia,293.0,566.21,mm,1.33,kg,36,12,3.0,102.16,eur,4.0,True
178,Honda Belgium F30923,3,6,alternator fan,2,Honda,Belgium,269.0,586.17,mm,2.61,kg,36,12,2.5,114.51,eur,3.0,True
179,Buick China F8484,3,6,alternator fan,2,Buick,China,261.0,524.38,mm,1.16,kg,36,12,3.0,105.51,eur,3.5,True
180,GMC Chile F8993,3,6,alternator fan,2,GMC,Chile,348.0,540.87,mm,2.96,kg,36,12,2.5,115.79,eur,5.0,True
181,BMW Italy F2085,3,6,alternator fan,2,BMW,Italy,268.0,599.16,mm,2.91,kg,36,12,3.0,129.07,eur,4.0,True
182,GMC Netherlands F2905,3,6,alternator fan,2,GMC,Netherlands,330.0,537.02,mm,1.12,kg,24,12,2.5,85.16,eur,3.0,True
183,Volvo Switzerland F24105,3,6,alternator fan,2,Volvo,Switzerland,305.0,567.45,mm,2.37,kg,36,12,3.0,105.78,eur,3.5,True
184,Ferrari Denmark F13230,3,6,alternator fan,2,Ferrari,Denmark,281.0,564.5,mm,2.45,kg,24,12,2.5,147.84,eur,3.5,True
185,Daimler France F6874,3,6,alternator fan,2,Daimler,France,328.0,507.08,mm,1.01,kg,24,12,3.0,137.07,eur,3.0,True
186,GMC USA F7640,3,6,alternator fan,2,GMC,USA,347.0,501.96,mm,1.55,kg,36,12,3.0,97.74,eur,4.5,True
187,BMW Sweden F23789,3,6,alternator fan,2,BMW,Sweden,296.0,563.51,mm,1.5,kg,36,12,3.0,92.54,eur,3.5,True
188,Acura Turkey F12435,3,6,alternator fan,2,Acura,Turkey,325.0,517.15,mm,1.73,kg,24,12,3.0,86.55,eur,3.5,True
