material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,power,voltage,current,frequency,rotation speed,price,currency,rank,is leaf
21,Volvo Indonesia P7268,2,2,alternator,1,Volvo,Indonesia,0.5905028678137917,0.6619166666666667,0.5668818768755116,mm,0.6200000000000001,kg,1.0,0.0,1.0,0,0,0.8804666666666666,eur,1.0,False
22,Mercedes USA P32288,2,2,alternator,1,Mercedes,USA,0.8616780045351474,0.3120833333333332,0.9538965172319719,mm,0.905,kg,0.07547169811320754,1.0,1.0,0,0,0.8810666666666667,eur,1.0,False
23,Hyundai India P22726,2,2,alternator,1,Hyundai,India,0.45925036681339193,0.26383333333333353,0.38383195416931915,mm,0.835,kg,0.07547169811320754,0.0,0.0,0,0,0.1052666666666667,eur,1.0,False
24,Volvo Chile P5855,2,2,alternator,1,Volvo,Chile,0.05028678137921847,0.5672499999999999,0.9903610075475124,mm,0.2849999999999999,kg,0.8490566037735849,1.0,1.0,0,0,0.009733333333333292,eur,0.5,False
25,KTM USA P16606,2,2,alternator,1,KTM,USA,0.3788848872882485,0.7785000000000001,0.6380831135764304,mm,0.3999999999999999,kg,0.0,0.0,0.0,0,0,0.8131333333333334,eur,0.25,False
26,BYD Chile P38662,2,2,alternator,1,BYD,Chile,0.7370281445911695,0.23000000000000018,0.7840320087296536,mm,0.6799999999999999,kg,0.8490566037735849,1.0,1.0,0,0,0.8420666666666666,eur,0.5,False
27,Jeep Sweden P3022,2,2,alternator,1,Jeep,Sweden,0.2235560891023074,0.03533333333333341,0.8493225425115937,mm,0.42999999999999994,kg,0.0,0.0,0.0,0,0,0.4934666666666667,eur,0.75,False
28,Ford Mexico P13459,2,2,alternator,1,Ford,Mexico,0.5903027877817791,0.1690833333333335,0.2950804764935895,mm,0.47,kg,0.07547169811320754,1.0,0.0,0,0,0.24046666666666663,eur,0.75,False
29,Ford Germany P23569,2,2,alternator,1,Ford,Germany,0.26730692276910745,0.6287499999999999,0.9682640720196416,mm,0.44999999999999996,kg,0.8490566037735849,1.0,0.0,0,0,0.7336666666666667,eur,0.0,False
30,Benz Belgium P23951,2,2,alternator,1,Benz,Belgium,0.7881152460984389,0.2178333333333332,0.2768936982813498,mm,0.07000000000000006,kg,0.8490566037735849,1.0,0.0,0,0,0.0054666666666666214,eur,0.25,False
31,Honda Korea P37636,2,2,alternator,1,Honda,Korea,0.8630785647592365,0.7872500000000002,0.5126852778030371,mm,0.3400000000000001,kg,0.07547169811320754,1.0,1.0,0,0,0.7306666666666666,eur,0.5,False
32,Honda Cuba P10859,2,2,alternator,1,Honda,Cuba,0.004335067360277291,0.29583333333333334,0.6750022733472766,mm,0.3500000000000001,kg,0.8490566037735849,0.0,1.0,0,0,0.11973333333333329,eur,0.25,False
33,Jeep Netherlands P12645,2,2,alternator,1,Jeep,Netherlands,0.3042550353474722,0.6243333333333335,0.10220969355278718,mm,0.5800000000000001,kg,0.8490566037735849,1.0,1.0,0,0,0.5962000000000001,eur,0.75,False
34,Ford India P3867,2,2,alternator,1,Ford,India,0.8444044284380416,0.18024999999999997,0.5743384559425293,mm,0.05499999999999994,kg,0.0,1.0,0.0,0,0,0.2177999999999999,eur,0.75,False
35,Benz Switzerland P35752,2,2,alternator,1,Benz,Switzerland,0.251033746832066,0.27583333333333354,0.36146221696826397,mm,0.9550000000000001,kg,0.8490566037735849,1.0,0.0,0,0,0.021466666666666658,eur,0.25,False
36,Hyundai Japan P22274,2,2,alternator,1,Hyundai,Japan,0.5609577164199012,0.2209166666666666,0.9882695280531058,mm,0.3799999999999999,kg,0.07547169811320754,0.0,1.0,0,0,0.3447333333333334,eur,0.5,False
37,Benz Thailand P9288,2,2,alternator,1,Benz,Thailand,0.7066159797252235,0.7218333333333333,0.07574793125397872,mm,0.20500000000000007,kg,1.0,0.0,1.0,0,0,0.37846666666666673,eur,0.75,False
38,Tesla Cuba P1797,2,2,alternator,1,Tesla,Cuba,0.9213018540749629,0.4865833333333332,0.6990088205874329,mm,0.685,kg,0.8490566037735849,0.0,0.0,0,0,0.7184666666666667,eur,0.0,False
39,Toyota New Zealand P7217,2,2,alternator,1,Toyota,New,0.6056422569027605,0.8602500000000002,0.9446212603437298,mm,0.135,kg,0.8490566037735849,0.0,0.0,0,0,0.5376666666666667,eur,0.5,False
40,Volvo Turkey P38527,2,2,alternator,1,Volvo,Turkey,0.8673469387755096,0.7773333333333331,0.5701554969537149,mm,0.17500000000000004,kg,0.8490566037735849,0.0,1.0,0,0,0.058333333333333334,eur,0.75,False
41,Jeep Japan P30884,2,2,alternator,1,Jeep,Japan,0.20348139255702266,0.046166666666666835,0.19305265072292455,mm,0.26,kg,1.0,1.0,0.0,0,0,0.07,eur,0.75,False
42,Tesla Thailand P34733,2,2,alternator,1,Tesla,Thailand,0.10697612378284657,0.04133333333333316,0.13940165499681764,mm,0.125,kg,0.07547169811320754,0.0,1.0,0,0,0.18159999999999996,eur,0.5,False
43,BMW Indonesia P30138,2,2,alternator,1,BMW,Indonesia,0.6413231959450443,0.6854999999999999,0.38201327634809473,mm,0.97,kg,0.0,0.0,1.0,0,0,0.5943999999999999,eur,0.25,False
44,Acura Mexico P29815,2,2,alternator,1,Acura,Mexico,0.5966386554621849,0.8403333333333332,0.9330726561789577,mm,0.9299999999999999,kg,0.8490566037735849,1.0,0.0,0,0,0.6456000000000001,eur,0.5,False
45,Buick Brazil P37981,2,2,alternator,1,Buick,Brazil,0.25536881419234364,0.018166666666666723,0.33691006638174104,mm,0.9450000000000001,kg,0.8490566037735849,1.0,0.0,0,0,0.275,eur,0.75,False
46,Lincoln Thailand P36285,2,2,alternator,1,Lincoln,Thailand,0.8105909030278773,0.6059166666666665,0.21660452850777526,mm,0.030000000000000027,kg,0.0,0.0,1.0,0,0,0.37399999999999994,eur,0.25,False
47,GMC Sweden P7051,2,2,alternator,1,GMC,Sweden,0.0904361744697879,0.0662499999999999,0.6778212239701732,mm,0.18999999999999995,kg,0.07547169811320754,1.0,1.0,0,0,0.43406666666666677,eur,0.75,False
48,Hyundai Germany P20378,2,2,alternator,1,Hyundai,Germany,0.12638388688808844,0.5413333333333331,0.5199599890879335,mm,0.675,kg,0.07547169811320754,1.0,0.0,0,0,0.3672666666666667,eur,0.5,False
49,BYD Germany P31287,2,2,alternator,1,BYD,Germany,0.23275977057489639,0.9931666666666668,0.2725288715104121,mm,0.6699999999999999,kg,0.0,0.0,0.0,0,0,0.7156,eur,0.5,False
50,GMC Japan P13536,2,2,alternator,1,GMC,Japan,0.6182472989195679,0.9258333333333335,0.94007456579067,mm,0.09000000000000008,kg,1.0,1.0,0.0,0,0,0.9915333333333333,eur,0.25,False
51,Jeep Belgium P3902,2,2,alternator,1,Jeep,Belgium,0.3200613578764839,0.40224999999999983,0.7911248522324268,mm,0.94,kg,1.0,1.0,0.0,0,0,0.5299333333333334,eur,0.5,False
52,Volkswagen Denmark P16647,2,2,alternator,1,Volkswagen,Denmark,0.21268507402961168,0.4792499999999999,0.9313449122487956,mm,0.685,kg,0.07547169811320754,1.0,1.0,0,0,0.6412,eur,0.25,False
53,Volvo Japan P31646,2,2,alternator,1,Volvo,Japan,0.13271975456849386,0.3084166666666666,0.9774483950168226,mm,0.010000000000000009,kg,0.8490566037735849,0.0,1.0,0,0,0.5662,eur,0.75,False
54,Ford Thailand P16715,2,2,alternator,1,Ford,Thailand,0.23796185140722953,0.85,0.6479039738110393,mm,0.32000000000000006,kg,0.07547169811320754,0.0,0.0,0,0,0.8783333333333333,eur,0.0,False
55,Toyota Germany P11090,2,2,alternator,1,Toyota,Germany,0.8891556622649059,0.2894166666666668,0.27552968991543203,mm,0.6399999999999999,kg,1.0,1.0,0.0,0,0,0.5239999999999999,eur,0.5,False
56,Mercedes Mexico P37006,2,2,alternator,1,Mercedes,Mexico,0.555222088835534,0.7795833333333334,0.8905155951623174,mm,0.010000000000000009,kg,0.07547169811320754,0.0,1.0,0,0,0.4619333333333333,eur,0.5,False
57,Ferrari Brazil P24587,2,2,alternator,1,Ferrari,Brazil,0.30238762171535255,0.7222500000000002,0.3355460580158222,mm,0.6699999999999999,kg,0.8490566037735849,1.0,1.0,0,0,0.9748666666666665,eur,0.25,False
58,KTM Switzerland P38638,2,2,alternator,1,KTM,Switzerland,0.6301854074963317,0.6255833333333333,0.8855142311539508,mm,0.03499999999999992,kg,1.0,1.0,0.0,0,0,0.1052666666666667,eur,0.25,False
59,Daimler USA P38032,2,2,alternator,1,Daimler,USA,0.5612911831399222,0.09150000000000015,0.4165681549513508,mm,0.51,kg,0.0,1.0,1.0,0,0,0.9136,eur,1.0,False
60,Jeep Egypt P2437,2,2,alternator,1,Jeep,Egypt,0.2763105242096838,0.5685000000000002,0.6532690733836503,mm,0.22999999999999998,kg,0.0,0.0,0.0,0,0,0.7472666666666666,eur,1.0,False
61,Buick Chile P18509,2,2,alternator,1,Buick,Chile,0.1413231959450446,0.0451666666666668,0.030190051832318352,mm,0.405,kg,0.8490566037735849,1.0,1.0,0,0,0.3524000000000001,eur,0.5,False
62,Benz Chile P9912,2,2,alternator,1,Benz,Chile,0.08269974656529261,0.9555833333333335,0.8481404019277982,mm,0.43500000000000005,kg,0.8490566037735849,1.0,1.0,0,0,0.20506666666666662,eur,0.25,False
63,Mercedes Indonesia P12732,2,2,alternator,1,Mercedes,Indonesia,0.3791516606642657,0.5418333333333332,0.6459943620987537,mm,0.30499999999999994,kg,0.8490566037735849,0.0,0.0,0,0,0.0925333333333333,eur,1.0,False
64,GMC France P18809,2,2,alternator,1,GMC,France,0.6898092570361473,0.6142499999999999,0.49286168955169624,mm,0.3999999999999999,kg,1.0,1.0,0.0,0,0,0.1073333333333333,eur,0.25,False
65,BYD Sweden P35374,2,2,alternator,1,BYD,Sweden,0.2500333466720021,0.7055833333333335,0.5516049831772297,mm,0.20999999999999996,kg,0.8490566037735849,0.0,0.0,0,0,0.7244666666666666,eur,0.75,False
66,Honda Brazil P20800,2,2,alternator,1,Honda,Brazil,0.41523275977057467,0.67975,0.6118941529508043,mm,0.32499999999999996,kg,0.0,1.0,1.0,0,0,0.5954666666666666,eur,0.0,False
67,Volvo Belgium P33845,2,2,alternator,1,Volvo,Belgium,0.5726957449646524,0.6620833333333332,0.7038283168136761,mm,0.8200000000000001,kg,1.0,0.0,0.0,0,0,0.24060000000000004,eur,0.25,False
68,Ford Turkey P26916,2,2,alternator,1,Ford,Turkey,0.8480058690142719,0.82975,0.008729653541875385,mm,0.1499999999999999,kg,0.07547169811320754,1.0,1.0,0,0,0.4524000000000001,eur,0.75,False
69,Daimler France P19669,2,2,alternator,1,Daimler,France,0.5913698812858472,0.9858333333333335,0.23133581885968946,mm,0.54,kg,0.8490566037735849,1.0,1.0,0,0,0.8452000000000001,eur,0.25,False
70,Ford Brazil P2417,2,2,alternator,1,Ford,Brazil,0.4845938375350136,0.04941666666666673,0.23751932345185048,mm,0.9299999999999999,kg,0.0,1.0,0.0,0,0,0.4197333333333334,eur,0.5,False
71,Hyundai Switzerland P28324,2,2,alternator,1,Hyundai,Switzerland,0.2929838602107509,0.40675,0.0900245521505863,mm,0.52,kg,0.0,1.0,1.0,0,0,0.8842,eur,0.5,False
72,Buick Sweden P4087,2,2,alternator,1,Buick,Sweden,0.2500333466720021,0.17158333333333312,0.4505774302082391,mm,0.21500000000000008,kg,0.07547169811320754,0.0,1.0,0,0,0.8640666666666668,eur,0.5,False
73,Daimler Belgium P18325,2,2,alternator,1,Daimler,Belgium,0.3480058690142723,0.4075833333333335,0.12194234791306688,mm,0.06499999999999995,kg,0.8490566037735849,1.0,1.0,0,0,0.20913333333333337,eur,0.25,False
74,Ferrari Cuba P4508,2,2,alternator,1,Ferrari,Cuba,0.33206615979725224,0.03591666666666669,0.20150950259161557,mm,0.9099999999999999,kg,1.0,0.0,1.0,0,0,0.2572000000000001,eur,0.75,False
75,Ferrari Netherlands P7399,2,2,alternator,1,Ferrari,Netherlands,0.46358543417366926,0.24383333333333326,0.28580521960534744,mm,0.97,kg,0.8490566037735849,1.0,0.0,0,0,0.29566666666666663,eur,1.0,False
76,BYD Austria P30146,2,2,alternator,1,BYD,Austria,0.5547552354275038,0.5555000000000002,0.8226789124306629,mm,0.5800000000000001,kg,0.07547169811320754,1.0,0.0,0,0,0.29799999999999993,eur,0.5,False
77,Daimler Chile P4262,2,2,alternator,1,Daimler,Chile,0.8929571828731488,0.9348333333333334,0.7073747385650627,mm,0.27,kg,1.0,0.0,1.0,0,0,0.19873333333333335,eur,1.0,False
78,Ferrari Switzerland P24925,2,2,alternator,1,Ferrari,Switzerland,0.86187808456716,0.3584166666666666,0.9629899063380918,mm,0.41999999999999993,kg,0.0,0.0,0.0,0,0,0.46879999999999994,eur,0.0,False
79,BMW France P26838,2,2,alternator,1,BMW,France,0.9263705482192872,0.40608333333333346,0.8995180503773761,mm,0.135,kg,0.07547169811320754,1.0,0.0,0,0,0.4043333333333334,eur,0.25,False
80,Buick Denmark P32006,2,2,alternator,1,Buick,Denmark,0.039148992930505555,0.9955833333333336,0.2989906338092206,mm,0.28,kg,0.8490566037735849,0.0,1.0,0,0,0.1594,eur,0.25,False
81,Tesla Cuba P34775,2,2,alternator,1,Tesla,Cuba,0.06575963718820868,0.20024999999999976,0.24161134854960484,mm,0.24,kg,0.07547169811320754,1.0,1.0,0,0,0.17686666666666667,eur,0.25,False
82,Mercedes Turkey P23923,2,2,alternator,1,Mercedes,Turkey,0.8818860877684405,0.6079999999999999,0.723651905065018,mm,0.4950000000000001,kg,1.0,0.0,0.0,0,0,0.0825333333333333,eur,0.25,False
83,Buick Netherlands P8245,2,2,alternator,1,Buick,Netherlands,0.6471922102174198,0.18299999999999983,0.45321451304901356,mm,0.3799999999999999,kg,0.07547169811320754,0.0,1.0,0,0,0.20233333333333328,eur,0.5,False
84,GMC Romania P27367,2,2,alternator,1,GMC,Romania,0.13712151527277575,0.8001666666666665,0.7666636355369649,mm,0.15999999999999992,kg,0.8490566037735849,0.0,1.0,0,0,0.0952,eur,0.25,False
85,Benz Japan P31975,2,2,alternator,1,Benz,Japan,0.22195544884620488,0.09399999999999978,0.8736928253159955,mm,0.07499999999999996,kg,1.0,0.0,0.0,0,0,0.4351333333333334,eur,0.0,False
86,Mercedes Egypt P33220,2,2,alternator,1,Mercedes,Egypt,0.837401627317593,0.37049999999999983,0.9116122578885149,mm,0.47,kg,1.0,0.0,0.0,0,0,0.3631333333333333,eur,0.5,False
87,BMW Switzerland P14553,2,2,alternator,1,BMW,Switzerland,0.70141389889289,0.5159166666666669,0.8167682095116853,mm,0.41999999999999993,kg,0.8490566037735849,0.0,1.0,0,0,0.012333333333333295,eur,0.25,False
88,Honda Turkey P33830,2,2,alternator,1,Honda,Turkey,0.44991329865279456,0.17841666666666686,0.47585705192325206,mm,0.7549999999999999,kg,0.07547169811320754,0.0,1.0,0,0,0.6644666666666665,eur,0.25,False
89,Honda Thailand P7960,2,2,alternator,1,Honda,Thailand,0.9031612645058017,0.8569999999999998,0.8657815767936711,mm,0.4850000000000001,kg,0.0,0.0,1.0,0,0,0.805,eur,0.5,False
90,Lincoln Turkey P32607,2,2,alternator,1,Lincoln,Turkey,0.4757903161264506,0.17991666666666645,0.7677548422296994,mm,0.4650000000000001,kg,0.0,0.0,0.0,0,0,0.9599333333333334,eur,0.75,False
91,Buick New Zealand P37841,2,2,alternator,1,Buick,New,0.7670401493930902,0.9560000000000002,0.2725288715104121,mm,0.645,kg,0.07547169811320754,0.0,0.0,0,0,0.08179999999999997,eur,0.75,False
92,Volkswagen Italy P39780,2,2,alternator,1,Volkswagen,Italy,0.06195811657996543,0.8951666666666668,0.5507865781576797,mm,0.565,kg,0.8490566037735849,0.0,0.0,0,0,0.2648666666666666,eur,0.25,False
93,Volkswagen India P37414,2,2,alternator,1,Volkswagen,India,0.10477524343070545,0.20150000000000007,0.6946439938164951,mm,0.345,kg,0.0,1.0,1.0,0,0,0.2598,eur,0.75,False
94,Acura USA P26065,2,2,alternator,1,Acura,USA,0.318860877684407,0.3559166666666665,0.12576157133763788,mm,0.375,kg,0.0,0.0,1.0,0,0,0.25173333333333325,eur,0.5,False
95,Hyundai Italy P18729,2,2,alternator,1,Hyundai,Italy,0.39502467653728157,0.18633333333333343,0.5356006183504589,mm,0.10000000000000009,kg,1.0,1.0,1.0,0,0,0.10486666666666669,eur,0.75,False
96,Benz China P3868,2,2,alternator,1,Benz,China,0.3129251700680272,0.5924166666666665,0.6349004273892883,mm,0.51,kg,1.0,1.0,1.0,0,0,0.8344,eur,0.0,False
97,Mercedes Netherlands P8225,2,2,alternator,1,Mercedes,Netherlands,0.4426437241563291,0.7173333333333332,0.39765390561062114,mm,0.9650000000000001,kg,0.0,0.0,0.0,0,0,0.7501333333333334,eur,0.25,False
98,Jeep Brazil P4624,2,2,alternator,1,Jeep,Brazil,0.8475390156062425,0.5748333333333335,0.8729653541875054,mm,0.875,kg,1.0,0.0,0.0,0,0,0.9628666666666668,eur,0.25,False
99,Ferrari Cuba P2933,2,2,alternator,1,Ferrari,Cuba,0.04648526077097522,0.4476666666666669,0.2254251159407107,mm,0.6499999999999999,kg,0.8490566037735849,1.0,0.0,0,0,0.8046,eur,0.25,False
100,Ferrari China P25159,2,2,alternator,1,Ferrari,China,0.60797652394291,0.6043333333333332,0.8590524688551423,mm,0.875,kg,0.8490566037735849,0.0,1.0,0,0,0.9732,eur,1.0,False
101,Jeep Belgium P18983,2,2,alternator,1,Jeep,Belgium,0.598772842470321,0.8400833333333334,0.6091661362189688,mm,0.03499999999999992,kg,0.8490566037735849,1.0,0.0,0,0,0.42106666666666664,eur,0.75,False
102,Volvo China P10991,2,2,alternator,1,Volvo,China,0.18780845671601984,0.8593333333333334,0.707556606347186,mm,0.49,kg,1.0,0.0,0.0,0,0,0.5508666666666666,eur,0.5,False
103,Acura Egypt P30454,2,2,alternator,1,Acura,Egypt,0.5703614779245028,0.2699166666666665,0.4885877966718196,mm,0.4099999999999999,kg,0.07547169811320754,1.0,0.0,0,0,0.6838,eur,0.5,False
104,Honda Cuba P18235,2,2,alternator,1,Honda,Cuba,0.8295985060690939,0.1735833333333332,0.2178776029826319,mm,0.8799999999999999,kg,0.8490566037735849,1.0,1.0,0,0,0.8007333333333334,eur,0.5,False
105,Toyota USA P37442,2,2,alternator,1,Toyota,USA,0.29338402027477656,0.8590833333333331,0.5496953714649453,mm,0.9650000000000001,kg,0.0,0.0,0.0,0,0,0.5598666666666666,eur,0.25,False
106,Tesla Korea P3500,2,2,alternator,1,Tesla,Korea,0.10504201680672265,0.25100000000000006,0.3719196144403016,mm,0.54,kg,0.8490566037735849,1.0,1.0,0,0,0.8101333333333334,eur,0.5,False
107,Benz Germany P16100,2,2,alternator,1,Benz,Germany,0.30112044817927147,0.33275000000000005,0.29644448485950725,mm,0.81,kg,0.07547169811320754,1.0,0.0,0,0,0.16686666666666666,eur,0.0,False
108,BMW Germany P39796,2,2,alternator,1,BMW,Germany,0.12971855408830185,0.40516666666666673,0.38546876420842024,mm,0.1100000000000001,kg,1.0,0.0,1.0,0,0,0.7661333333333332,eur,1.0,False
109,KTM China P29932,2,2,alternator,1,KTM,China,0.13885554221688665,0.8454166666666666,0.3286350822951712,mm,0.8049999999999999,kg,1.0,0.0,1.0,0,0,0.7535999999999999,eur,0.5,False
110,Tesla Cuba P26464,2,2,alternator,1,Tesla,Cuba,0.00026677337601720987,0.6680833333333335,0.5099572610712014,mm,0.2350000000000001,kg,0.8490566037735849,0.0,1.0,0,0,0.18193333333333336,eur,0.75,False
111,BMW Italy P31291,2,2,alternator,1,BMW,Italy,0.31712685074029606,0.9235833333333332,0.775211421296717,mm,0.09000000000000008,kg,0.07547169811320754,0.0,0.0,0,0,0.4958666666666666,eur,1.0,False
112,Volvo Romania P32313,2,2,alternator,1,Volvo,Romania,0.4237028144591166,0.43299999999999983,0.24661271255797035,mm,0.9199999999999999,kg,0.07547169811320754,1.0,0.0,0,0,0.6777333333333333,eur,0.75,False
113,Toyota Germany P22336,2,2,alternator,1,Toyota,Germany,0.8647458983593432,0.3607500000000002,0.16695462398836056,mm,0.2649999999999999,kg,1.0,0.0,0.0,0,0,0.18899999999999997,eur,0.25,False
114,BYD New Zealand P23080,2,2,alternator,1,BYD,New,0.22895824996665315,0.44466666666666677,0.20932981722287874,mm,0.04499999999999993,kg,0.0,0.0,1.0,0,0,0.5882,eur,0.5,False
115,Jeep Germany P20635,2,2,alternator,1,Jeep,Germany,0.34333733493397356,0.2724999999999999,0.04828589615349693,mm,0.07499999999999996,kg,0.07547169811320754,1.0,1.0,0,0,0.5694666666666666,eur,0.0,False
116,Volkswagen Japan P1682,2,2,alternator,1,Volkswagen,Japan,0.09283713485394166,0.7834999999999999,0.3163590070019092,mm,0.04499999999999993,kg,0.0,0.0,1.0,0,0,0.4259333333333332,eur,0.5,False
117,Volvo China P27611,2,2,alternator,1,Volvo,China,0.06089102307589697,0.5945833333333336,0.985450577430208,mm,0.8,kg,0.0,0.0,1.0,0,0,0.9398,eur,0.0,False
118,Honda Turkey P22331,2,2,alternator,1,Honda,Turkey,0.3635454181672667,0.451,0.33327271073929227,mm,0.31000000000000005,kg,0.8490566037735849,1.0,0.0,0,0,0.07239999999999999,eur,0.0,False
119,Tesla France P13388,2,2,alternator,1,Tesla,France,0.35354141656662647,0.15333333333333315,0.294716740929344,mm,0.43500000000000005,kg,0.0,1.0,0.0,0,0,0.5124000000000001,eur,1.0,False
120,Tesla Japan P21430,2,2,alternator,1,Tesla,Japan,0.1120448179271709,0.8948333333333333,0.46612712557970337,mm,0.8899999999999999,kg,0.07547169811320754,0.0,0.0,0,0,0.9674666666666667,eur,0.0,False
121,Toyota USA P10595,2,2,alternator,1,Toyota,USA,0.7907162865146052,0.7725833333333332,0.05983450031826898,mm,0.135,kg,0.07547169811320754,0.0,0.0,0,0,0.07600000000000004,eur,1.0,False
122,Mercedes Switzerland P1039,2,2,alternator,1,Mercedes,Switzerland,0.4092303588101907,0.20316666666666663,0.30744748567791264,mm,0.865,kg,0.8490566037735849,0.0,0.0,0,0,0.9927999999999999,eur,0.75,False
123,Mercedes Russia P18617,2,2,alternator,1,Mercedes,Russia,0.7012805122048815,0.5279166666666668,0.10384650359188934,mm,0.16999999999999993,kg,1.0,0.0,1.0,0,0,0.7299333333333334,eur,0.75,False
124,Volvo Mexico P35957,2,2,alternator,1,Volvo,Mexico,0.6347205548886216,0.33541666666666664,0.3841047558425025,mm,0.605,kg,1.0,0.0,1.0,0,0,0.2196666666666666,eur,0.25,False
125,Buick Mexico P39692,2,2,alternator,1,Buick,Mexico,0.6958783513405362,0.9616666666666664,0.6634536691825045,mm,0.45999999999999996,kg,0.8490566037735849,1.0,1.0,0,0,0.7883333333333333,eur,0.25,False
126,Buick Switzerland P36787,2,2,alternator,1,Buick,Switzerland,0.15426170468187267,0.04699999999999989,0.48331363099026975,mm,0.95,kg,0.8490566037735849,1.0,1.0,0,0,0.057933333333333316,eur,1.0,False
127,Mercedes Canada P12495,2,2,alternator,1,Mercedes,Canada,0.5536214485794315,0.8796666666666667,0.2888060380103663,mm,0.8049999999999999,kg,0.07547169811320754,0.0,0.0,0,0,0.5855333333333335,eur,0.75,False
