material ID,description,level,category,category description,hierarchy category,provider,country,length,height,width,size uom,weight,weight uom,voltage,current,pressure,flow,price,currency,rank,is leaf
52,Ferrari Turkey O1285,2,4,oil pump,1,Ferrari,Turkey,585.25,403.18,358.16,mm,2.84,kg,12,2.5,300,45,484.15,eur,3.0,True
53,Tesla Denmark O19053,2,4,oil pump,1,Tesla,Denmark,571.28,407.84,300.83,mm,3.43,kg,12,3.0,300,75,393.87,eur,5.0,True
54,Buick Sweden O13031,2,4,oil pump,1,Buick,Sweden,608.39,376.07,408.59,mm,2.33,kg,12,2.5,300,85,350.39,eur,3.5,True
55,Toyota Korea O10846,2,4,oil pump,1,Toyota,Korea,556.56,380.56,338.89,mm,2.04,kg,12,3.0,300,55,462.64,eur,4.0,True
56,Acura Cuba O36219,2,4,oil pump,1,Acura,Cuba,580.11,362.88,373.48,mm,2.59,kg,12,2.5,300,65,507.13,eur,3.5,True
57,Daimler Brazil O23249,2,4,oil pump,1,Daimler,Brazil,574.66,332.53,374.65,mm,2.99,kg,12,3.0,300,45,552.66,eur,3.5,True
58,Jeep China O13591,2,4,oil pump,1,Jeep,China,565.72,322.0,403.28,mm,2.09,kg,12,3.0,300,75,483.84,eur,5.0,True
59,BYD Japan O7155,2,4,oil pump,1,BYD,Japan,572.23,388.19,428.96,mm,2.03,kg,12,3.0,300,75,446.62,eur,4.0,True
60,Ferrari Belgium O27235,2,4,oil pump,1,Ferrari,Belgium,555.18,400.31,326.34,mm,3.4,kg,12,2.5,300,85,540.03,eur,4.0,True
61,Honda Canada O3511,2,4,oil pump,1,Honda,Canada,575.82,345.95,385.49,mm,2.82,kg,12,3.0,300,50,534.51,eur,3.5,True
62,Ford Romania O27718,2,4,oil pump,1,Ford,Romania,555.38,324.82,417.0,mm,3.35,kg,12,3.0,300,65,410.5,eur,4.5,True
63,BYD Sweden O19397,2,4,oil pump,1,BYD,Sweden,598.12,327.44,303.39,mm,3.41,kg,12,2.5,300,50,588.58,eur,4.0,True
64,Ford Switzerland O18690,2,4,oil pump,1,Ford,Switzerland,597.06,311.93,388.92,mm,2.17,kg,12,3.0,300,65,500.41,eur,3.5,True
65,KTM Sweden O2400,2,4,oil pump,1,KTM,Sweden,570.27,313.9,354.58,mm,2.34,kg,12,2.5,300,80,549.26,eur,3.0,True
66,BMW Cuba O27755,2,4,oil pump,1,BMW,Cuba,601.53,391.12,372.52,mm,2.37,kg,12,2.5,300,45,350.61,eur,4.0,True
67,Ferrari Brazil O15845,2,4,oil pump,1,Ferrari,Brazil,562.33,407.08,393.8,mm,3.4,kg,12,2.5,300,65,571.04,eur,3.0,True
68,KTM Germany O35775,2,4,oil pump,1,KTM,Germany,600.77,357.87,406.86,mm,2.92,kg,12,2.5,300,45,439.84,eur,3.0,True
69,Jeep France O39003,2,4,oil pump,1,Jeep,France,557.99,393.81,308.9,mm,3.25,kg,12,3.0,300,70,581.05,eur,4.0,True
70,GMC Austria O36968,2,4,oil pump,1,GMC,Austria,598.13,419.94,311.57,mm,2.78,kg,12,2.5,300,65,412.51,eur,4.0,True
71,Benz Germany O15423,2,4,oil pump,1,Benz,Germany,570.27,389.61,343.37,mm,3.89,kg,12,2.5,300,55,507.84,eur,4.0,True
72,Daimler Belgium O36458,2,4,oil pump,1,Daimler,Belgium,577.9,369.46,360.74,mm,2.28,kg,12,3.0,300,85,440.28,eur,4.0,True
73,BYD Belgium O14157,2,4,oil pump,1,BYD,Belgium,579.23,303.23,313.85,mm,3.44,kg,12,3.0,300,75,373.25,eur,4.0,True
74,Toyota Germany O12559,2,4,oil pump,1,Toyota,Germany,553.7,332.42,398.42,mm,3.47,kg,12,2.5,300,85,406.1,eur,5.0,True
75,Jeep Turkey O2948,2,4,oil pump,1,Jeep,Turkey,601.12,417.67,350.9,mm,2.23,kg,12,3.0,300,70,524.63,eur,3.5,True
76,Acura Indonesia O28115,2,4,oil pump,1,Acura,Indonesia,558.87,384.39,423.37,mm,2.17,kg,12,3.0,300,55,374.02,eur,3.5,True
77,BMW Chile O38267,2,4,oil pump,1,BMW,Chile,576.55,322.17,320.19,mm,2.76,kg,12,3.0,300,85,521.78,eur,4.5,True
78,Jeep Chile O22873,2,4,oil pump,1,Jeep,Chile,594.23,365.09,319.31,mm,3.9,kg,12,3.0,300,50,564.52,eur,5.0,True
79,Toyota Austria O14590,2,4,oil pump,1,Toyota,Austria,557.27,360.35,345.54,mm,3.9,kg,12,2.5,300,50,551.01,eur,5.0,True
80,Lincoln Italy O38476,2,4,oil pump,1,Lincoln,Italy,582.55,304.49,325.05,mm,3.0,kg,12,2.5,300,75,452.99,eur,5.0,True
81,KTM Netherlands O5683,2,4,oil pump,1,KTM,Netherlands,591.03,324.44,375.36,mm,2.8,kg,12,2.5,300,80,554.22,eur,3.5,True
82,GMC Thailand O38343,2,4,oil pump,1,GMC,Thailand,575.1,348.3,369.58,mm,2.21,kg,12,2.5,300,55,529.21,eur,5.0,True
83,Daimler Brazil O6159,2,4,oil pump,1,Daimler,Brazil,608.89,331.14,389.3,mm,2.88,kg,12,2.5,300,80,369.13,eur,4.0,True
84,BMW Indonesia O37680,2,4,oil pump,1,BMW,Indonesia,583.95,417.31,362.72,mm,2.41,kg,12,3.0,300,55,403.16,eur,4.5,True
85,Buick Egypt O32301,2,4,oil pump,1,Buick,Egypt,586.02,367.59,303.84,mm,2.38,kg,12,2.5,300,55,508.5,eur,3.5,True
86,Volkswagen Korea O36566,2,4,oil pump,1,Volkswagen,Korea,560.29,316.65,362.02,mm,2.49,kg,12,3.0,300,55,575.44,eur,3.5,True
87,Volvo China O12921,2,4,oil pump,1,Volvo,China,569.46,399.65,346.34,mm,2.54,kg,12,2.5,300,45,588.03,eur,3.0,True
88,Acura Switzerland O28473,2,4,oil pump,1,Acura,Switzerland,602.57,363.15,405.41,mm,2.35,kg,12,3.0,300,65,551.6,eur,4.5,True
89,Volkswagen Brazil O29566,2,4,oil pump,1,Volkswagen,Brazil,598.23,393.6,414.51,mm,2.44,kg,12,3.0,300,85,488.06,eur,4.5,True
90,Volkswagen Korea O2716,2,4,oil pump,1,Volkswagen,Korea,579.75,340.95,370.04,mm,2.14,kg,12,2.5,300,65,530.02,eur,3.5,True
91,Daimler USA O5000,2,4,oil pump,1,Daimler,USA,581.7,381.74,417.22,mm,2.6,kg,12,2.5,300,85,352.12,eur,4.0,True
92,Ford Italy O23277,2,4,oil pump,1,Ford,Italy,602.8,324.67,408.72,mm,2.97,kg,12,2.5,300,65,520.49,eur,3.5,True
93,Benz Chile O22522,2,4,oil pump,1,Benz,Chile,559.72,339.37,384.35,mm,2.78,kg,12,3.0,300,80,370.24,eur,4.5,True
94,Tesla Austria O6577,2,4,oil pump,1,Tesla,Austria,574.73,330.66,353.2,mm,3.0,kg,12,2.5,300,65,363.89,eur,5.0,True
95,Ford Russia O37493,2,4,oil pump,1,Ford,Russia,552.34,308.94,311.52,mm,2.45,kg,12,3.0,300,85,350.34,eur,4.0,True
96,GMC Chile O9675,2,4,oil pump,1,GMC,Chile,553.26,308.97,336.79,mm,2.11,kg,12,3.0,300,55,412.84,eur,3.5,True
97,Daimler Brazil O4504,2,4,oil pump,1,Daimler,Brazil,567.46,367.73,372.73,mm,3.18,kg,12,3.0,300,85,518.17,eur,3.5,True
98,BYD Austria O23238,2,4,oil pump,1,BYD,Austria,562.55,385.74,335.93,mm,3.37,kg,12,2.5,300,80,507.22,eur,4.0,True
99,Volvo China O6061,2,4,oil pump,1,Volvo,China,550.92,375.15,355.06,mm,3.15,kg,12,2.5,300,65,404.65,eur,4.5,True
100,Mercedes USA O22783,2,4,oil pump,1,Mercedes,USA,567.6,404.24,385.89,mm,3.13,kg,12,2.5,300,45,545.54,eur,5.0,True
101,Buick Turkey O14662,2,4,oil pump,1,Buick,Turkey,601.7,384.2,429.09,mm,2.32,kg,12,3.0,300,80,577.13,eur,5.0,True
102,Mercedes France O14538,2,4,oil pump,1,Mercedes,France,598.25,331.86,333.28,mm,2.98,kg,12,2.5,300,55,437.93,eur,4.0,True
103,Ford New Zealand O3753,2,4,oil pump,1,Ford,New,600.48,392.28,369.61,mm,2.24,kg,12,2.5,300,75,381.73,eur,4.0,True
104,Lincoln USA O12425,2,4,oil pump,1,Lincoln,USA,578.43,389.54,345.01,mm,2.58,kg,12,3.0,300,50,385.05,eur,5.0,True
105,Lincoln Denmark O17305,2,4,oil pump,1,Lincoln,Denmark,554.21,360.92,427.7,mm,3.97,kg,12,2.5,300,70,386.07,eur,3.0,True
106,Hyundai Netherlands O38973,2,4,oil pump,1,Hyundai,Netherlands,571.25,328.94,341.41,mm,3.35,kg,12,2.5,300,70,408.09,eur,3.5,True
107,Volvo Mexico O35701,2,4,oil pump,1,Volvo,Mexico,604.22,332.37,320.39,mm,2.58,kg,12,2.5,300,75,478.91,eur,5.0,True
108,Acura Cuba O27887,2,4,oil pump,1,Acura,Cuba,577.57,316.1,378.99,mm,2.87,kg,12,3.0,300,45,577.67,eur,3.0,True
109,Jeep Cuba O39452,2,4,oil pump,1,Jeep,Cuba,601.5,383.03,419.33,mm,3.58,kg,12,3.0,300,50,501.44,eur,4.5,True
110,Lincoln Mexico O10531,2,4,oil pump,1,Lincoln,Mexico,562.12,306.39,334.46,mm,3.57,kg,12,2.5,300,50,414.3,eur,3.0,True
111,KTM Austria O10658,2,4,oil pump,1,KTM,Austria,574.43,348.61,398.94,mm,3.4,kg,12,3.0,300,65,546.91,eur,4.0,True
112,Jeep Brazil O38875,2,4,oil pump,1,Jeep,Brazil,585.43,343.95,413.7,mm,2.83,kg,12,3.0,300,65,350.89,eur,4.0,True
113,Tesla Chile O24933,2,4,oil pump,1,Tesla,Chile,574.97,362.51,396.6,mm,2.44,kg,12,3.0,300,75,488.03,eur,3.5,True
114,Hyundai Romania O19168,2,4,oil pump,1,Hyundai,Romania,582.57,409.8,318.9,mm,3.22,kg,12,2.5,300,80,470.52,eur,4.5,True
115,Buick Mexico O34569,2,4,oil pump,1,Buick,Mexico,563.02,323.03,324.44,mm,2.65,kg,12,2.5,300,50,374.24,eur,3.0,True
116,Buick India O9759,2,4,oil pump,1,Buick,India,559.11,362.82,341.02,mm,2.7,kg,12,2.5,300,45,372.09,eur,5.0,True
117,Jeep Italy O9849,2,4,oil pump,1,Jeep,Italy,552.23,384.87,351.49,mm,3.55,kg,12,3.0,300,50,455.97,eur,5.0,True
118,Ford Korea O38784,2,4,oil pump,1,Ford,Korea,596.02,311.84,300.94,mm,3.69,kg,12,2.5,300,80,394.43,eur,4.5,True
119,Tesla Chile O4561,2,4,oil pump,1,Tesla,Chile,551.06,413.63,428.7,mm,2.54,kg,12,3.0,300,50,547.97,eur,4.0,True
120,BYD Austria O20663,2,4,oil pump,1,BYD,Austria,590.72,342.61,423.9,mm,3.07,kg,12,2.5,300,70,383.52,eur,4.5,True
121,Mercedes Italy O19623,2,4,oil pump,1,Mercedes,Italy,581.06,416.08,381.41,mm,2.92,kg,12,2.5,300,75,490.37,eur,4.0,True
122,Honda Italy O2221,2,4,oil pump,1,Honda,Italy,564.23,374.89,406.96,mm,3.15,kg,12,2.5,300,50,410.02,eur,4.0,True
123,Jeep Brazil O9993,2,4,oil pump,1,Jeep,Brazil,592.94,365.0,352.69,mm,3.09,kg,12,2.5,300,80,467.61,eur,4.5,True
124,Jeep USA O32986,2,4,oil pump,1,Jeep,USA,565.66,353.29,421.11,mm,2.33,kg,12,2.5,300,70,372.27,eur,3.0,True
125,Mercedes Japan O16173,2,4,oil pump,1,Mercedes,Japan,563.99,383.99,385.97,mm,3.43,kg,12,2.5,300,80,592.23,eur,5.0,True
126,Mercedes Romania O1240,2,4,oil pump,1,Mercedes,Romania,581.25,335.35,362.9,mm,2.78,kg,12,3.0,300,65,592.41,eur,4.0,True
127,Toyota Mexico O18342,2,4,oil pump,1,Toyota,Mexico,594.63,334.41,349.8,mm,3.39,kg,12,2.5,300,55,436.92,eur,4.0,True
128,KTM Italy O21045,2,4,oil pump,1,KTM,Italy,583.78,397.12,328.6,mm,2.33,kg,12,3.0,300,50,475.02,eur,5.0,True
129,Buick Thailand O31435,2,4,oil pump,1,Buick,Thailand,569.3,322.25,349.7,mm,2.45,kg,12,3.0,300,80,596.33,eur,4.5,True
130,Lincoln Canada O20896,2,4,oil pump,1,Lincoln,Canada,589.85,406.82,386.71,mm,2.59,kg,12,3.0,300,70,466.4,eur,5.0,True
131,Acura Turkey O3967,2,4,oil pump,1,Acura,Turkey,609.49,365.78,359.09,mm,3.19,kg,12,3.0,300,50,404.85,eur,4.5,True
132,BYD Mexico O27830,2,4,oil pump,1,BYD,Mexico,564.96,396.3,416.62,mm,3.75,kg,12,2.5,300,55,444.71,eur,5.0,True
133,Buick Indonesia O29071,2,4,oil pump,1,Buick,Indonesia,594.59,355.35,344.51,mm,2.96,kg,12,3.0,300,70,499.56,eur,4.5,True
134,Jeep China O36987,2,4,oil pump,1,Jeep,China,608.56,353.8,315.56,mm,3.05,kg,12,3.0,300,45,366.23,eur,4.0,True
135,Volvo Egypt O13056,2,4,oil pump,1,Volvo,Egypt,588.19,372.24,401.12,mm,2.54,kg,12,2.5,300,50,482.07,eur,4.0,True
136,Lincoln Germany O14434,2,4,oil pump,1,Lincoln,Germany,582.02,303.1,331.63,mm,2.84,kg,12,3.0,300,45,445.03,eur,4.5,True
137,Hyundai Italy O30416,2,4,oil pump,1,Hyundai,Italy,560.62,416.34,402.05,mm,3.6,kg,12,3.0,300,80,494.19,eur,3.5,True
138,Volvo Norway O11774,2,4,oil pump,1,Volvo,Norway,603.79,333.36,413.19,mm,3.88,kg,12,3.0,300,45,562.29,eur,4.0,True
139,BYD Sweden O35244,2,4,oil pump,1,BYD,Sweden,550.37,407.22,312.4,mm,2.68,kg,12,2.5,300,70,425.75,eur,4.5,True
140,Ford Austria O33249,2,4,oil pump,1,Ford,Austria,598.04,341.89,306.01,mm,3.79,kg,12,3.0,300,50,462.95,eur,3.5,True
141,KTM Egypt O35850,2,4,oil pump,1,KTM,Egypt,578.24,331.2,335.78,mm,2.52,kg,12,3.0,300,65,580.75,eur,4.5,True
142,Tesla Norway O33496,2,4,oil pump,1,Tesla,Norway,553.8,314.5,329.1,mm,3.28,kg,12,2.5,300,85,397.96,eur,5.0,True
143,Mercedes New Zealand O22199,2,4,oil pump,1,Mercedes,New,591.54,362.42,411.35,mm,3.4,kg,12,2.5,300,65,485.87,eur,3.5,True
144,Ford Romania O16662,2,4,oil pump,1,Ford,Romania,589.26,377.35,344.9,mm,2.2,kg,12,3.0,300,50,526.45,eur,3.0,True
145,Mercedes Norway O10773,2,4,oil pump,1,Mercedes,Norway,574.1,364.91,397.37,mm,2.88,kg,12,2.5,300,80,483.56,eur,3.0,True
146,Ford Norway O27605,2,4,oil pump,1,Ford,Norway,597.57,345.46,376.9,mm,2.44,kg,12,3.0,300,65,586.56,eur,4.5,True
147,Lincoln New Zealand O18965,2,4,oil pump,1,Lincoln,New,556.09,410.07,402.85,mm,3.86,kg,12,3.0,300,65,575.35,eur,3.0,True
148,Lincoln Germany O30466,2,4,oil pump,1,Lincoln,Germany,592.05,403.19,402.4,mm,2.94,kg,12,3.0,300,70,379.56,eur,5.0,True
149,Daimler Japan O2908,2,4,oil pump,1,Daimler,Japan,601.19,388.95,344.5,mm,3.2,kg,12,2.5,300,70,395.73,eur,4.0,True
150,Ferrari India O9405,2,4,oil pump,1,Ferrari,India,608.48,339.0,356.95,mm,3.13,kg,12,3.0,300,80,503.66,eur,3.5,True
151,Hyundai USA O19921,2,4,oil pump,1,Hyundai,USA,607.18,388.29,387.49,mm,3.18,kg,12,2.5,300,80,594.88,eur,4.0,True
152,Toyota Russia O39091,2,4,oil pump,1,Toyota,Russia,602.53,370.2,409.37,mm,3.59,kg,12,2.5,300,45,536.56,eur,4.0,True
153,Benz Canada O21766,2,4,oil pump,1,Benz,Canada,600.43,352.5,316.03,mm,3.16,kg,12,3.0,300,75,423.89,eur,3.5,True
154,KTM Indonesia O29824,2,4,oil pump,1,KTM,Indonesia,553.76,337.29,358.68,mm,3.62,kg,12,3.0,300,70,577.84,eur,3.0,True
155,Lincoln Norway O26537,2,4,oil pump,1,Lincoln,Norway,595.26,399.82,314.67,mm,2.08,kg,12,2.5,300,70,393.92,eur,4.5,True
156,BMW Belgium O29152,2,4,oil pump,1,BMW,Belgium,559.98,401.03,318.14,mm,3.31,kg,12,2.5,300,75,426.09,eur,3.0,True
157,BMW New Zealand O38199,2,4,oil pump,1,BMW,New,607.27,347.04,310.04,mm,3.33,kg,12,3.0,300,65,504.95,eur,4.0,True
158,Lincoln Germany O22113,2,4,oil pump,1,Lincoln,Germany,599.33,404.53,410.6,mm,2.65,kg,12,2.5,300,85,448.64,eur,4.0,True
159,Ford China O37761,2,4,oil pump,1,Ford,China,558.46,419.58,348.56,mm,2.58,kg,12,3.0,300,55,380.89,eur,4.0,True
160,Daimler India O28549,2,4,oil pump,1,Daimler,India,561.81,360.94,301.25,mm,3.44,kg,12,3.0,300,45,439.51,eur,4.5,True
161,Benz Canada O37065,2,4,oil pump,1,Benz,Canada,592.18,376.48,378.4,mm,3.22,kg,12,3.0,300,75,394.6,eur,4.0,True
162,Volvo Norway O16749,2,4,oil pump,1,Volvo,Norway,567.38,324.44,427.2,mm,3.4,kg,12,2.5,300,85,477.42,eur,4.5,True
163,Hyundai Brazil O30829,2,4,oil pump,1,Hyundai,Brazil,560.75,318.5,308.23,mm,3.45,kg,12,3.0,300,70,401.91,eur,4.5,True
164,Ford USA O9353,2,4,oil pump,1,Ford,USA,578.79,402.46,349.72,mm,3.2,kg,12,3.0,300,80,497.21,eur,4.5,True
165,Ford Belgium O20380,2,4,oil pump,1,Ford,Belgium,577.09,319.52,389.59,mm,3.85,kg,12,2.5,300,85,375.18,eur,4.0,True
166,Hyundai Korea O34379,2,4,oil pump,1,Hyundai,Korea,595.91,353.67,335.68,mm,3.02,kg,12,3.0,300,70,448.01,eur,4.5,True
167,Tesla Cuba O31007,2,4,oil pump,1,Tesla,Cuba,566.53,354.9,364.46,mm,2.13,kg,12,3.0,300,55,562.0,eur,3.5,True
168,Daimler Norway O2012,2,4,oil pump,1,Daimler,Norway,574.03,365.02,348.8,mm,3.46,kg,12,3.0,300,75,485.22,eur,3.5,True
169,Honda Norway O21389,2,4,oil pump,1,Honda,Norway,592.0,386.02,428.94,mm,3.51,kg,12,2.5,300,75,587.83,eur,4.5,True
170,Mercedes India O24545,2,4,oil pump,1,Mercedes,India,551.76,304.96,353.83,mm,2.84,kg,12,2.5,300,45,359.23,eur,3.5,True
171,GMC Romania O35645,2,4,oil pump,1,GMC,Romania,567.1,383.9,369.97,mm,2.14,kg,12,2.5,300,55,370.45,eur,4.0,True
172,Toyota Norway O18671,2,4,oil pump,1,Toyota,Norway,600.79,348.86,404.72,mm,3.0,kg,12,3.0,300,50,396.39,eur,4.0,True
173,Ferrari Russia O12988,2,4,oil pump,1,Ferrari,Russia,584.36,405.37,314.68,mm,2.69,kg,12,2.5,300,45,362.16,eur,5.0,True
174,Acura Denmark O7126,2,4,oil pump,1,Acura,Denmark,558.08,343.03,399.69,mm,2.17,kg,12,2.5,300,50,576.18,eur,4.0,True
175,Mercedes India O39255,2,4,oil pump,1,Mercedes,India,564.97,329.95,329.64,mm,3.66,kg,12,2.5,300,55,535.92,eur,3.5,True
176,BYD Korea O7953,2,4,oil pump,1,BYD,Korea,574.65,304.44,422.1,mm,3.86,kg,12,2.5,300,50,377.68,eur,4.5,True
177,Tesla Turkey O6266,2,4,oil pump,1,Tesla,Turkey,577.19,340.07,320.92,mm,3.88,kg,12,3.0,300,50,546.17,eur,5.0,True
